Organization Name,Organization Name URL,Headquarters Location,Industries,Website,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Founded Date,Founded Date Precision,Industry Groups,Stock Symbol,Stock Symbol URL,Stock Exchange,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Investor Type,Investment Stage
TYKY,https://www.crunchbase.com/organization/tyky,"Nanshanqu, Guangdong, China","Big Data, Cloud Computing, Internet",http://www.sztaiji.com/,31350000,CNY,5039318,2,1990-08-23,day,"Data and Analytics, Internet Services, Software",834127,https://www.crunchbase.com/ipo/tyky-ipo--73583a25,NEEQ - National Equities Exchange and Quotations,,,,,,,,
ZlinePay,https://www.crunchbase.com/organization/zlinepay,"Chengdu Shi, Sichuan, China","FinTech, Mobile Payments, Payments",http://www.zlinepay.com,213000000,CNY,33532389,8,2004-12-14,day,"Financial Services, Mobile, Payments, Software",831495,https://www.crunchbase.com/ipo/zlinepay-ipo--58c91731,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Green Net World,https://www.crunchbase.com/organization/green-net-world,"Xiamen, Fujian, China","Education, Internet, Network Security",http://www.gwchina.cn,53050000,CNY,7752934,2,2006-06-08,day,"Education, Information Technology, Internet Services, Privacy and Security",831084,https://www.crunchbase.com/ipo/green-net-world-ipo--dccd36df,NEEQ - National Equities Exchange and Quotations,,,,,,,,
SRC,https://www.crunchbase.com/organization/src-1861,"Wuhan, Hubei, China","Cloud Computing, Cloud Data Services, Information Services, Information Technology, Software",http://www.whsrc.com/,13500000,CNY,1991377,2,2000-04-11,day,"Information Technology, Internet Services, Software",836278,https://www.crunchbase.com/ipo/src-1861-ipo--350acaa0,NEEQ - National Equities Exchange and Quotations,,,,,,,,
SUNTANG,https://www.crunchbase.com/organization/suntang,"Shenzhen, Guangdong, China","Information Services, Information Technology, Network Security",https://www.suntang.com/,152000000,CNY,21782798,6,2003-01-01,day,"Information Technology, Privacy and Security",839680,https://www.crunchbase.com/ipo/suntang-ipo--b4da211d,NEEQ - National Equities Exchange and Quotations,,,,,,,,
yegame.com,https://www.crunchbase.com/organization/yegame-com,"Chengdu, Sichuan, China","Gaming, Media and Entertainment, Web Development",http://www.yegame.com,7952000,CNY,1155235,1,2010-07-29,day,"Gaming, Media and Entertainment, Software",430627,https://www.crunchbase.com/ipo/yegame-com-ipo--f1ee7ca7,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Goldencis,https://www.crunchbase.com/organization/goldencis,"Jinan, Shandong, China","Network Hardware, Network Security, Security",http://www.goldencis.com/,168240000,CNY,25231092,5,2008-08-13,day,"Hardware, Information Technology, Privacy and Security",833326,https://www.crunchbase.com/ipo/goldencis-ipo--3c7d907f,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Seastars,https://www.crunchbase.com/organization/seastars,"Beijing, Beijing, China","3D Technology, Software, Virtual Reality",http://www.seastars.com,53000000,CNY,8346087,3,1998-03-20,day,"Hardware, Software",836989,https://www.crunchbase.com/ipo/seastars-ipo--015bc8ca,NEEQ - National Equities Exchange and Quotations,,,,,,,,
TrafficData,https://www.crunchbase.com/organization/trafficdata,"Beijing, Beijing, China","Automotive, Database",http://www.trafficdata.cn/,40500000,CNY,6287163,2,2010-08-01,day,"Data and Analytics, Software, Transportation",870767,https://www.crunchbase.com/ipo/trafficdata-ipo--b9f7e064,NEEQ - National Equities Exchange and Quotations,,,,,,,,
"Guangdong Flying Enterprise Internet Technology Co., Ltd.",https://www.crunchbase.com/organization/guangdong-flying-enterprise-internet-technology-co-ltd,"Zhuhai, Guangdong, China","Cloud Data Services, Enterprise, Software",http://www.flyrise.cn,5000000,CNY,726380,1,2009-05-07,day,"Information Technology, Internet Services, Other, Software",834791,https://www.crunchbase.com/ipo/guangdong-flying-enterprise-internet-technology-co-ltd-ipo--a8912dc5,NEEQ - National Equities Exchange and Quotations,,,,,,,,
MASSCLOUDS,https://www.crunchbase.com/organization/massclouds,"Jinan, Shandong, China","Big Data, Cloud Computing, Information Technology",http://www.massclouds.com/,78870000,CNY,12574121,3,2012-08-21,day,"Data and Analytics, Information Technology, Internet Services, Software",870819,https://www.crunchbase.com/ipo/massclouds-ipo--ea85d9c1,NEEQ - National Equities Exchange and Quotations,,,,,,,,
"Sichuan Lensyn Technology Co., LTD",https://www.crunchbase.com/organization/sichuan-lensyn-technology-co-ltd,"Chengdu, Sichuan, China","Big Data, Cloud Computing, Hydroelectric, Information Technology",http://www.lensyn.com/,3000000,CNY,471338,1,2006-02-10,day,"Data and Analytics, Energy, Information Technology, Internet Services, Software, Sustainability",837522,https://www.crunchbase.com/ipo/sichuan-lensyn-technology-co-ltd-ipo--3fd77b06,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Reliance,https://www.crunchbase.com/organization/reliance-83d3,"Xiamen, Fujian, China","Business Information Systems, Consulting, Information Services, Manufacturing, Public Safety",http://www.reliance.com.cn/,12000000,CNY,1940569,1,1998-03-23,day,"Government and Military, Information Technology, Manufacturing, Professional Services",838621,https://www.crunchbase.com/ipo/reliance-83d3-ipo--33c2eca8,NEEQ - National Equities Exchange and Quotations,,,,,,,,
ReGlory,https://www.crunchbase.com/organization/reglory,"Huangpu, Shanghai, China","Information Technology, Software, Technical Support",http://www.reglory.com.cn/,7000000,CNY,1008776,1,2013-04-08,day,"Information Technology, Other, Software",838956,https://www.crunchbase.com/ipo/reglory-ipo--9d9ee724,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Cheetah Mobile,https://www.crunchbase.com/organization/cheetah-mobile-2,"Beijing, Beijing, China","Developer Tools, Internet, Mobile, Security, Software",http://ir.cmcm.com,18600000,USD,18600000,1,2010-01-01,year,"Internet Services, Mobile, Privacy and Security, Software",CMCM,https://www.crunchbase.com/ipo/cheetah-mobile-2-ipo--8d36b58d,NYSE - New York Stock Exchange,168000000,USD,168000000,,,,,
Shandong Donsun intelligent transportation,https://www.crunchbase.com/organization/shandong-donsun-intelligent-transportation,"Jinan, Shandong, China","Big Data, Cloud Computing, Internet of Things",http://www.dsfits.com/,132830000,CNY,20857406,2,2011-03-23,day,"Data and Analytics, Internet Services, Software",832918,https://www.crunchbase.com/ipo/shandong-donsun-intelligent-transportation-ipo--2e6d8959,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Raxtone,https://www.crunchbase.com/organization/raxtone,"Shanghai, Shanghai, China","Automotive, Software, Web Development",http://www.raxtone.com/,34300000,CNY,5304549,1,2010-01-14,day,"Software, Transportation",430356,https://www.crunchbase.com/ipo/raxtone-ipo--c3ea59d4,NEEQ - National Equities Exchange and Quotations,,,,,,,,
AVTrace,https://www.crunchbase.com/organization/avtrace,"Huangpu, Guangdong, China","Electronics, Network Security, Security",http://www.avtrace.com/,13000000,CNY,2008385,2,2005-06-06,day,"Consumer Electronics, Hardware, Information Technology, Privacy and Security",831288,https://www.crunchbase.com/ipo/avtrace-ipo--9012d2fa,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Huochai Huyu,https://www.crunchbase.com/organization/huochai-huyu,"Shunyi, Beijing, China","Gaming, Media and Entertainment, Virtual Reality",http://www.huochaihy.com,53000000,CNY,8124690,2,2012-05-24,day,"Gaming, Hardware, Media and Entertainment, Software",870645,https://www.crunchbase.com/ipo/huochai-huyu-ipo--ac926f81,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Tianrun Rongtong,https://www.crunchbase.com/organization/tianrun-rongtong,"Beijing, Beijing, China","Call Center, Cloud Computing, Information Technology",https://www.ti-net.com.cn/,4810000,CNY,778185,1,2006-02-23,day,"Administrative Services, Information Technology, Internet Services, Software",,https://www.crunchbase.com/ipo/tianrun-rongtong-ipo--2e9004dd,HKG - Hong Kong Stock Exchange,559360500,HKD,71279269,,,,,
HENGQIAN.COM,https://www.crunchbase.com/organization/hengqian-com,"Xian Shi, Shaanxi, China","EdTech, Education, Information Services",http://www.hengqian.co/,60000000,CNY,9452852,3,2005-06-06,day,"Education, Information Technology, Software",837138,https://www.crunchbase.com/ipo/hengqian-com-ipo--d915eed3,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Guangzhouokay,https://www.crunchbase.com/organization/guangzhouokay,"Guangzhou, Guangdong, China","Cloud Computing, Human Resources",http://www.okaygis.com/,10000000,CNY,1451210,1,2002-10-01,day,"Administrative Services, Internet Services, Software",837902,https://www.crunchbase.com/ipo/guangzhouokay-ipo--f9355002,NEEQ - National Equities Exchange and Quotations,,,,,,,,
SAIBEIGUFEN,https://www.crunchbase.com/organization/saibeigufen,"Baotou, Nei Mongol, China","Automotive, Information Technology, Manufacturing, Military",http://sbjxsbgfyxgs.com/,39040000,CNY,6030654,2,2007-12-03,day,"Government and Military, Information Technology, Manufacturing, Transportation",837422,https://www.crunchbase.com/ipo/saibeigufen-ipo--f5ba0474,NEEQ - National Equities Exchange and Quotations,,,,,,,,
ADT,https://www.crunchbase.com/organization/adt-cc36,"Shanghai, Shanghai, China","Information Technology, Network Security, Wireless",http://www.adtsec.com,133000000,CNY,20823952,5,2002-02-08,day,"Hardware, Information Technology, Mobile, Privacy and Security",836308,https://www.crunchbase.com/ipo/adt-cc36-ipo--fb328725,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Ifmsoft,https://www.crunchbase.com/organization/ifmsoft,"Beijing, Beijing, China","Information Technology, IT Management, Software",http://www.ifmsoft.com.cn/,3000000,CNY,456616,1,2005-08-31,day,"Information Technology, Software",430121,https://www.crunchbase.com/ipo/ifmsoft-ipo--c2affdee,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Nengdong Yingyu,https://www.crunchbase.com/organization/nengdong-yingyu,"Haidian, Beijing, China","E-Learning, EdTech, Education",http://www.nd115.com,30000000,CNY,4837343,1,2002-04-25,day,"Education, Software",835797,https://www.crunchbase.com/ipo/nengdong-yingyu-ipo--dab1c2f8,NEEQ - National Equities Exchange and Quotations,,,,,,,,
OS-Easy,https://www.crunchbase.com/organization/os-easy,"Wuhan, Hubei, China","Cloud Computing, Data Visualization, Internet, Software",http://www.os-easy.com/,15000000,CNY,2311759,1,2013-01-01,day,"Data and Analytics, Design, Information Technology, Internet Services, Software",837979,https://www.crunchbase.com/ipo/os-easy-ipo--331e64ed,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Semboo,https://www.crunchbase.com/organization/semboo,"Shunyi, Beijing, China","Manufacturing, Service Industry, Simulation",http://www.semboo.com,16079565,USD,16079565,2,2005-06-07,day,"Manufacturing, Other, Software",836984,https://www.crunchbase.com/ipo/semboo-ipo--35819e3a,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Beijing Yiqi Dangqian Network Technology,https://www.crunchbase.com/organization/qikuai-com,"Miyun, Beijing, China","Gaming, Mobile, Virtual Reality",http://www.qikuai.com/,20000000,CNY,3084739,1,2013-12-01,day,"Gaming, Hardware, Mobile, Software",838780,https://www.crunchbase.com/ipo/qikuai-com-ipo--7f48114e,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Guangzhou Ruoyuchen Technology,https://www.crunchbase.com/organization/guangzhou-ruoyuchen-technology,"Guangzhou, Guangdong, China","Data Mining, E-Commerce, Logistics, Professional Services, Warehousing",http://www.gzruoyuchen.com,,,,,2011-01-01,year,"Commerce and Shopping, Data and Analytics, Information Technology, Other, Transportation",003010,https://www.crunchbase.com/ipo/guangzhou-ruoyuchen-technology-ipo--3105dc2f,SZSE - Shenzhen Stock Exchange,463000000,CNY,67850757,,,,,
WellJoint,https://www.crunchbase.com/organization/welljoint,"Xuhui, Shanghai, China","Cloud Computing, Communications Infrastructure, Information Services",https://www.welljoint.com/,25800000,CNY,3888474,2,2011-04-21,day,"Hardware, Information Technology, Internet Services, Software",870949,https://www.crunchbase.com/ipo/welljoint-ipo--98514d77,NEEQ - National Equities Exchange and Quotations,,,,,,,,
New Oriental Education & Technology Group,https://www.crunchbase.com/organization/new-oriental-education-technology,"Haidian, Beijing, China","Customer Service, EdTech, Education",http://www.neworiental.org,,,,,1993-01-01,year,"Education, Other, Professional Services, Software",1797,https://www.crunchbase.com/ipo/new-oriental-education-technology-ipo--72388162,HKG - Hong Kong Stock Exchange,1680000000,HKD,214014102,9400000000,HKD,1197459856,,
Lande Network,https://www.crunchbase.com/organization/lande-network,"Hangzhou, Zhejiang, China","Consulting, Enterprise Software, Professional Services, Software",http://www.zoneland.net/,35000000,CNY,5083921,1,1999-01-01,day,"Other, Professional Services, Software",834505,https://www.crunchbase.com/ipo/lande-network-ipo--d22b16c4,NEEQ - National Equities Exchange and Quotations,,,,,,,,
LiVS,https://www.crunchbase.com/organization/livs,"Jinan, Shandong, China","3D Technology, Information Services, Information Technology, Software",http://www.livs.com.cn,3000000,CNY,435448,1,2010-10-13,day,"Hardware, Information Technology, Software",871943,https://www.crunchbase.com/ipo/livs-ipo--9e64335a,NEEQ - National Equities Exchange and Quotations,,,,,,,,
BioVision Software,https://www.crunchbase.com/organization/biovision-software,"Changshahsien, Hunan, China","3D Technology, Medical, Software",http://www.101doctor.net/,2190000,CNY,352681,1,2009-08-10,day,"Hardware, Health Care, Software",836323,https://www.crunchbase.com/ipo/biovision-software-ipo--59904629,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Hulian Zaixian,https://www.crunchbase.com/organization/hulian-zaixian,"Shenzhen, Guangdong, China","Blockchain, Cloud Computing, Information Technology",http://www.ichina.cn/,29000000,CNY,4595120,3,2006-03-13,day,"Blockchain and Cryptocurrency, Information Technology, Internet Services, Other, Software",835727,https://www.crunchbase.com/ipo/hulian-zaixian-ipo--cf95c5e4,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Zone Cool,https://www.crunchbase.com/organization/zone-cool,"Changchun, Jilin, China","Electronics, Smart Home, Virtual Reality",http://www.cczk.com/,16000000,CNY,2318009,1,2013-01-01,day,"Consumer Electronics, Hardware, Real Estate, Software",838331,https://www.crunchbase.com/ipo/zone-cool-ipo--9f4c9276,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Wanting Technology,https://www.crunchbase.com/organization/wanting-technology,"Hangzhou, Zhejiang, China","Education, Training, Virtual Reality",http://www.v3ing.com/,26000000,CNY,4153219,2,2011-07-04,day,"Education, Hardware, Software",838111,https://www.crunchbase.com/ipo/wanting-technology-ipo--d2f409d8,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Othink,https://www.crunchbase.com/organization/othink,"Kunming, Yunnan, China","Image Recognition, Virtual Reality",http://www.othink.cn/,15000000,CNY,2441451,1,2006-12-20,day,"Data and Analytics, Hardware, Software",871921,https://www.crunchbase.com/ipo/othink-ipo--071d4c73,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Sinopec Group,https://www.crunchbase.com/organization/sinopec-group,"Beijing, Beijing, China","Energy, Enterprise Software, Manufacturing, Mining, Oil and Gas",http://www.sinopecgroup.com/group/en/,,USD,,1,1998-07-01,day,"Energy, Manufacturing, Natural Resources, Software",600028,https://www.crunchbase.com/ipo/sinopec-group-ipo--af6e85ae,,,,,,,,,
Zhongding Technology,https://www.crunchbase.com/organization/zhongding-technology,"Hefei, Anhui, China","Information Technology, Logistics, Technical Support",http://zd315.net/,10760000,CNY,1586186,2,1998-12-01,day,"Information Technology, Other, Transportation",831077,https://www.crunchbase.com/ipo/zhongding-technology-ipo--979cbe27,NEEQ - National Equities Exchange and Quotations,,,,,,,,
China Telecom,https://www.crunchbase.com/organization/china-telcom,"Beijing, Beijing, China","Data Center, Information Services, Internet, Mobile, Telecommunications, Unified Communications",https://www.chinatelecomglobal.com/,,,,,2002-01-01,year,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile",CHA,https://www.crunchbase.com/ipo/china-telcom-ipo--fe4d92ba,NYSE - New York Stock Exchange,,,,,,,,
SIOO,https://www.crunchbase.com/organization/sioo,"Hongkou, Shanghai, China","Cloud Computing, Information Services, Information Technology",http://www.sioo.cn/,20000000,CNY,3228440,1,2006-09-06,day,"Information Technology, Internet Services, Software",430632,https://www.crunchbase.com/ipo/sioo-ipo--c5819144,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Kenfor,https://www.crunchbase.com/organization/kenfor,"Foshan, Guangdong, China","Cloud Computing, Information Services",http://www.kenfor.com,3000000,CNY,471058,1,1998-01-01,day,"Information Technology, Internet Services, Software",837882,https://www.crunchbase.com/ipo/kenfor-ipo--24449869,NEEQ - National Equities Exchange and Quotations,,,,,,,,
CHEGONG,https://www.crunchbase.com/organization/chegong,"Beijing, Beijing, China","Automotive, Service Industry, Technical Support",http://chegong.cn/,48000000,CNY,6989533,1,2013-10-01,day,"Information Technology, Other, Transportation",838603,https://www.crunchbase.com/ipo/chegong-ipo--6dc72c61,NEEQ - National Equities Exchange and Quotations,,,,,,,,
UESTCOC,https://www.crunchbase.com/organization/uestcoc,"Chengdu, Sichuan, China","Electronics, Information Technology, Technical Support",http://uestcoc.com/,2480000,CNY,363471,1,2011-05-27,day,"Consumer Electronics, Hardware, Information Technology, Other",831490,https://www.crunchbase.com/ipo/uestcoc-ipo--a1a5f872,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Biaimu,https://www.crunchbase.com/organization/biaimu,"Shanghai, Shanghai, China","3D Technology, Construction, Software",http://www.17bim.com/,3500000,CNY,565570,1,2011-08-18,day,"Hardware, Real Estate, Software",835957,https://www.crunchbase.com/ipo/biaimu-ipo--936a089b,NEEQ - National Equities Exchange and Quotations,,,,,,,,
MultiMetaverse,https://www.crunchbase.com/organization/multimetaverse,"Shanghai, Shanghai, China","Blockchain, Cryptocurrency, Metaverse, Virtual Currency",https://www.multi-metaverse.com/,,,,,2021-04-01,month,"Blockchain and Cryptocurrency, Financial Services, Media and Entertainment, Other, Payments, Software",MMV,https://www.crunchbase.com/ipo/multimetaverse-ipo--87502b83,NASDAQ,57500000,USD,57500000,,,,,
Huidangjia,https://www.crunchbase.com/organization/huidangjia,"Nanchangshi, Jiangxi, China","Enterprise, Enterprise Software, Information Technology",http://www.lghy.com/,8100000,CNY,1271341,1,2011-05-23,day,"Information Technology, Other, Software",830953,https://www.crunchbase.com/ipo/huidangjia-ipo--75ac5ad4,NEEQ - National Equities Exchange and Quotations,,,,,,,,
"Jinan Keming Digital Technology Co., Ltd.",https://www.crunchbase.com/organization/jinan-keming-digital-technology-co-ltd,"Jinan, Shandong, China","Finance, Marketing, Virtual Reality",http://www.kemingshuma.com/,3000000,CNY,485283,1,2004-11-01,day,"Financial Services, Hardware, Sales and Marketing, Software",830943,https://www.crunchbase.com/ipo/jinan-keming-digital-technology-co-ltd-ipo--3fec4c8d,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Inlife-Handnet,https://www.crunchbase.com/organization/inlife-handnet,"Shenzhen, Guangdong, China","3D Technology, Information Technology, Virtual Reality",http://www.3dinlife.com/,30000000,CNY,4845209,2,2007-06-04,day,"Hardware, Information Technology, Software",836905,https://www.crunchbase.com/ipo/inlife-handnet-ipo--c99a33e8,NEEQ - National Equities Exchange and Quotations,,,,,,,,
JieBox,https://www.crunchbase.com/organization/jiebox,"Pinggu, Beijing, China","Billing, Information Technology, Mobile Apps, Software",https://www.jiebox.cn/,2000000,CNY,300301,1,2014-11-15,day,"Apps, Information Technology, Mobile, Payments, Software",873476,https://www.crunchbase.com/ipo/jiebox-ipo--586a3625,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Mandao Tuxiang,https://www.crunchbase.com/organization/mandao-tuxiang,"Jintan, Jiangsu, China","3D Technology, TV Production, Virtual Reality",http://www.uminda.com/,14000000,CNY,2191859,2,2012-06-05,day,"Hardware, Media and Entertainment, Software, Video",871605,https://www.crunchbase.com/ipo/mandao-tuxiang-ipo--6c0c986a,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Yealink,https://www.crunchbase.com/organization/yealink,"Xiamen, Fujian, China","CRM, Information Technology, Software, Telecommunications",http://www.yealink.com/,,,,,2001-01-01,year,"Hardware, Information Technology, Sales and Marketing, Software",300628,https://www.crunchbase.com/ipo/yealink-ipo--7cb581ea,SZSE - Shenzhen Stock Exchange,,,,,,,,
Kweichow Moutai,https://www.crunchbase.com/organization/kweichow-moutai,"Motai, Guizhou, China","Enterprise Software, Food and Beverage, Packaging Services",http://en.moutaichina.com/publish/portal11,,,,,1999-11-20,day,"Administrative Services, Food and Beverage, Software",600519,https://www.crunchbase.com/ipo/kweichow-moutai-ipo--0e4db0c7,SSE - Shanghai Stock Exchange,,,,,,,,
ChinaNetCenter,https://www.crunchbase.com/organization/chinanetcenter,"Beijing, Beijing, China","Content Delivery Network, Enterprise Software, Telecommunications",http://en.chinanetcenter.com/,17438637,USD,17438637,4,2000-01-01,month,"Content and Publishing, Hardware, Software",300017,https://www.crunchbase.com/ipo/chinanetcenter-ipo--bcb9c82f,SZSE - Shenzhen Stock Exchange,,,,,,,,
ONEW,https://www.crunchbase.com/organization/onew-31d6,"Wuhan, Hubei, China","Hardware, Training, Virtual Reality",http://www.onewtech.com,3000000,CNY,480860,1,2012-10-23,day,"Education, Hardware, Software",833549,https://www.crunchbase.com/ipo/onew-31d6-ipo--ccd48017,NEEQ - National Equities Exchange and Quotations,,,,,,,,
"Changhong Electric Co., Ltd",https://www.crunchbase.com/organization/changhong-electric-co-ltd,"Sichuan, Gansu, China","Manufacturing, Retail, Retail Technology, Telecommunications",http://changhong.com/,15800000,USD,15800000,1,1958-01-01,year,"Commerce and Shopping, Hardware, Manufacturing, Software",600839,https://www.crunchbase.com/ipo/changhong-electric-co-ltd-ipo--63ade145,SSE - Shanghai Stock Exchange,,,,,,,,
Uwaysoft,https://www.crunchbase.com/organization/uwaysoft,"Haidian, Beijing, China","Cloud Security, Information Technology",http://www.uwaysoft.com,920000,CNY,143282,1,2007-04-10,day,"Information Technology, Privacy and Security",430664,https://www.crunchbase.com/ipo/uwaysoft-ipo--4d50ce5a,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Shenzhen Huiding Technology Co. Ltd.,https://www.crunchbase.com/organization/shenzhen-huiding-technology-co-ltd,"Shenzhen, Guangdong, China","CRM, Information Technology",http://www.goodix.com/,,,,,1980-03-04,day,"Information Technology, Sales and Marketing, Software",603160,https://www.crunchbase.com/ipo/shenzhen-huiding-technology-co-ltd-ipo--a8c28013,SSE - Shanghai Stock Exchange,,,,,,,,
Kouyuyi,https://www.crunchbase.com/organization/kouyuyi,"Guangzhou, Guangdong, China","Developer APIs, E-Learning, Education, Software",http://www.kouyuyi.com,690000,CNY,100483,1,2010-09-26,day,"Education, Software",872010,https://www.crunchbase.com/ipo/kouyuyi-ipo--e403a15e,NEEQ - National Equities Exchange and Quotations,,,,,,,,
WINEW,https://www.crunchbase.com/organization/winew,"Shenzhen, Guangdong, China","Audio, Video, Video Conferencing",https://www.chinahotline.com.cn,6200000,CNY,989137,2,2007-11-26,day,"Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Music and Audio, Software, Video",838902,https://www.crunchbase.com/ipo/winew-ipo--48d719f5,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Youzu Interactive,https://www.crunchbase.com/organization/youzu-interactive,"Shanghai, Shanghai, China","Developer Platform, Publishing, Video Games",http://www.yoozoo.com/,,,,,2009-01-01,year,"Content and Publishing, Gaming, Media and Entertainment, Software",002174,https://www.crunchbase.com/ipo/youzu-interactive-ipo--3b070cc9,SZSE - Shenzhen Stock Exchange,,,,,,,,
Teamsun Technology Co.,https://www.crunchbase.com/organization/teamsun-technology-co,"Beijing, Beijing, China","Cloud Computing, Information Services, Internet of Things, Mobile",http://www.teamsun.com.cn/,470000000,CNY,73654551,1,1998-11-01,day,"Information Technology, Internet Services, Mobile, Software",600410,https://www.crunchbase.com/ipo/teamsun-technology-co-ipo--87e685b3,SSE - Shanghai Stock Exchange,,,,,,,,
Guangdong Aofei Data Technology,https://www.crunchbase.com/organization/guangdong-aofei-data-technology,"Guanzhou, Guangdong, China","Data Center, Information Services, Information Technology",http://www.ofidc.com/,,,,,2004-09-28,day,"Hardware, Information Technology",300738,https://www.crunchbase.com/ipo/guangdong-aofei-data-technology-ipo--7c21ff00,SZSE - Shenzhen Stock Exchange,,,,,,,,
Digital China Group,https://www.crunchbase.com/organization/digital-china-group,"Beijing, Beijing, China","Consumer Electronics, Enterprise Software, Information Technology",http://www.digitalchina.com,,,,,2000-01-01,year,"Consumer Electronics, Hardware, Information Technology, Software",000034,https://www.crunchbase.com/ipo/digital-china-group-ipo--7bdf59e0,SZSE - Shenzhen Stock Exchange,,,,,,,,
Kingnet,https://www.crunchbase.com/organization/kingnet,"Minhang, Shanghai, China","Information Technology, Internet, Online Games, Social, Web Development",http://www.kingnet.com,17000000,USD,17000000,3,2008-01-01,year,"Community and Lifestyle, Gaming, Information Technology, Internet Services, Software",002517,https://www.crunchbase.com/ipo/kingnet-ipo--34df5101,SZSE - Shenzhen Stock Exchange,,,,,,,,
ArcSoft Corporation,https://www.crunchbase.com/organization/arcsoft-corporation,"Hangzhou, Zhejiang, China","Commercial, Computer Vision, Internet, Retail, Software",https://www.arcsoft.com.cn/,,USD,,1,1994-01-01,year,"Commerce and Shopping, Hardware, Internet Services, Other, Software",688088,https://www.crunchbase.com/ipo/arcsoft-corporation-ipo--cfae08e9,SSE - Shanghai Stock Exchange,,,,,,,,
Venustech,https://www.crunchbase.com/organization/venustech,"Beijing, Beijing, China","Computer, Information Technology, Management Information Systems, Network Security, Security, Software",http://www.venustech.com.cn,19220000,USD,19220000,2,1996-01-01,year,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software",002439,https://www.crunchbase.com/ipo/venustech-ipo--717a84f1,SZSE - Shenzhen Stock Exchange,,,,,,,,
Giant Network,https://www.crunchbase.com/organization/giant-network,"Shanghai, Shanghai, China","Developer Tools, Gaming",http://www.ga-me.com,,,,,1989-01-01,year,"Gaming, Software",002558,https://www.crunchbase.com/ipo/giant-network-ipo--7e1d01f7,SZSE - Shenzhen Stock Exchange,,,,,,,,
Beijing YJK Building Software,https://www.crunchbase.com/organization/beijing-yjk-building-software-co-ltd,"Beijing, Beijing, China","Construction, Software, Software Engineering",http://www.yjk.cn,,,,,2010-12-01,month,"Real Estate, Science and Engineering, Software",300935,https://www.crunchbase.com/ipo/beijing-yjk-building-software-co-ltd-ipo--819d4689,SZSE - Shenzhen Stock Exchange,,,,,,,,
Haoxi Digital Technology,https://www.crunchbase.com/organization/haoxi-digital-technology,"Beijing, Beijing, China","Brand Marketing, Digital Marketing, Video Editing, Video on Demand, Web Development",https://www.haoximedia.com,,,,,2018-01-01,year,"Content and Publishing, Media and Entertainment, Sales and Marketing, Software, Video",HAO,https://www.crunchbase.com/ipo/haoxi-digital-technology-ipo--236673ad,NASDAQ,9600000,USD,9600000,68450000,USD,68450000,,
Link Motion,https://www.crunchbase.com/organization/nqmobile,"Dongcheng, Shaanxi, China","Android, Apps, Mobile, PaaS, Privacy, Security, Software, Wireless",https://www.nq.com/,10000000,USD,10000000,7,2005-10-04,day,"Apps, Hardware, Mobile, Platforms, Privacy and Security, Software",LKM,https://www.crunchbase.com/ipo/nqmobile-ipo--2c0633f7,NYSE - New York Stock Exchange,89125000,USD,89125000,2634755950,USD,2634755950,,
Beijing Hezong Science & Technology,https://www.crunchbase.com/organization/beijing-hezong-science-technology,"Haidian, Beijing, China","Industrial Manufacturing, Machinery Manufacturing, Retail Technology",http://www.hezong-tech.com/en/index.aspx#&panel1-5,,,,,1997-04-15,day,"Commerce and Shopping, Hardware, Manufacturing, Software",300477,https://www.crunchbase.com/ipo/beijing-hezong-science-technology-ipo--d34ce2d0,SZSE - Shenzhen Stock Exchange,,,,,,,,
