公司简称,工商全称,统一信用代码,官网,一句话简介,公司简介,行业,子行业,省,市,成立时间,运营状态,员工人数,地址,电话,邮箱,团队姓名,职位,融资次数,融资总额(万人民币)
趣活科技,北京趣活科技有限公司,911101085923799229,http://www.meishisong.cn/,多场景人力资源资产运营解决方平台,趣活科技是一个劳动力运营解决方案平台，可为包括美团、饿了么、滴滴等大型生活服务平台提供灵活用工解决方案、第三方业务管理平台、劳动者技能提升等服务，业务涉及外卖即时配送、网约车司机管理、共享单车运维等多个场景。,企业服务,人力资源,北京,朝阳区,2012-03,运营中,,,,,孙莉莉,联合创始人,,
声网Agora,上海兆言网络科技有限公司,91310110093802968T,http://agora.io/,移动端音视频实时传输的云服务解决方案,声网 Agora.io 是首家为 App 开发者提供全球范围实时音视频通信服务的服务商，在全球部署了超过 200 个数据中心，搭建 SD－RTN™（Software Defined Real Time Network）这个专为「实时」所设计的虚拟通信网，来极大优化全球范围内的实时传输。声网Agora.io 为开发者提供有质量保证 QoE 的实时云服务。,企业服务,企业IT服务,上海,杨浦区,2014-03,运营中,,上海市杨浦区伟成路62号5层,400-632-6626,Sales@agora.io,赵斌,CEO,,
动力源,北京动力源科技股份有限公司,911100001021218238,http://www.dpc.com.cn,科技推广和应用服务商,动力源是一家科技推广和应用服务商，经营范围包括电力电子产品、计算机软件及辅助设备、通信设备、节能工程、新能源汽车、新能源发电工程的技术开发、技术转让、技术咨询、技术服务、技术推广；新能源汽车换电设施的技术开发；光伏设备及元器件、充电桩的技术开发；生产计算机软硬件；销售电力电子产品、计算机软件及辅助设备、仪器仪表、环保设备、新能源汽车及配件产品。,企业服务,其他企业服务,北京,丰台区,1995-01,运营中,,北京市丰台区科技园区星火路8号,010-8368-2266,sqh@dpc.com.cn,何振亚,CEO,,
致远互联,北京致远互联软件股份有限公司,91110108737656338N,http://www.seeyon.com/,协同管理软件及云服务提供商,北京致远协创软件是一家主打协同管理软件的企业服务提供商，目前形成了从私有云到公有云、从互联网到移动互联网、从企业内部协同到外部协同的完整产品线及解决方案。,企业服务,办公OA,北京,海淀区,2002-03,运营中,,北京市海淀区北坞村路甲25号静芯园N座,4007-008-822,security@seeyon.com,徐石,CEO,,
金山云,北京金山云网络技术有限公司,9111010857121431XA,http://www.ksyun.com,云计算服务提供商,金山云2012年从金山软件拆分独立，是一家云计算服务提供商，已推出云服务器、云物理主机、关系型数据库、缓存、表格数据库、对象存储、负载均衡、虚拟私有网络、CDN、托管Hadoop、云安全、云解析等在内的完整云产品，以及适用于游戏、视频、政务、医疗、金融等垂直行业的云服务解决方案。金山云一直进行人工智能的研究和实践工作，推出的覆盖IaaS、Paas、SaaS、行业解决方案四个层面，适用于各行业的多种组合型AI解决方案和服务。,企业服务,企业IT服务,北京,海淀区,2011-03,运营中,,北京市海淀区小营西路33号金山软件大厦,010-6292-7777,ksyundns@kingsoft.com,张宏江,CEO,,
e签宝,杭州天谷信息科技有限公司,913301087458306077,https://www.tsign.cn,第三方电子合同签名平台,e签宝是中国规模最大的在线电子签名平台。从电子签名到文档归档管理，从签名数据存证到司法出证，e签宝提供了一套完整的电子签名生态服务。合作伙伴包括阿里巴巴、百度、海康威视、大华股份、顶新集团等顶级企业。,企业服务,行业信息化及解决方案,浙江,杭州,2002-12,运营中,,杭州市西湖区西斗门路3号 天堂软件园E幢9F,400-087-8198,market@esign.cn,何一兵,CEO,,
品高软件,广州市品高软件股份有限公司,91440101745973157W,http://www.bingocc.com,IT综合服务提供商,品高软件主营业务是以大型应用软件为核心，在云计算、企业门户、工作流、知识管理、项目管理等IT领域提供软件产品研发、高端行业应用项目开发和顾问咨询服务。,企业服务,企业IT服务,广东,广州,2010-01,运营中,,广州市天河区高唐软件产业基地软件路17号G1栋,020-8701-1227,,黄海,CEO,,
旗天科技集团,旗天科技集团股份有限公司,913100006073633775,https://www.qt300061.com/,数字生活营销服务商,旗天科技集团是新一代信息技术下的、拥有自主研发能力的数字科技营销企业，主要服务于银行等持牌金融机构和头部互联网公司，开展面向其海量个人客户的数字科技增值营销业务 。其中数字生活营销业务、银行卡增值营销业务、航旅信息服务业务三大细分业务，交易规模和行业影响力在行业中均居于头部地位。,企业服务,前沿技术,上海,浦东新区,1996-12,运营中,,上海市浦东新区张江丹桂路999号张江国创中心一期C5幢,021-8039-588,office@kq.300061.com;limy@qt300061.com,,,,
智微智能,深圳市智微智能科技股份有限公司,91440300582702079P,http://www.jwipc.com,物联网核心解决方案商,智微智能是一家物联网核心解决方案商，主营产品包括：主板、一体机、OPS模块录播系统、云终端、播放终端、手持支付设备、多功能支付终端、工业主板、工业BOX、工业平板、网安平台和服务器等。,企业服务,行业信息化及解决方案,广东,深圳,2011-09,运营中,,深圳市福田区车公庙泰然九路海松大厦B-1303,0755-2398-1887,zenglj@jwele.com.cn,,,,
麒麟信安,湖南麒麟信安科技股份有限公司,914301003385143085,http://www.kylinsec.com.cn,信息安全解决方案提供商,麒麟信安是一家信息安全解决方案提供商，旗下拥有操作系统、信息安全和云计算三条自主研发产品线，主营业务包括麒麟操作系统、电子信息集中管控系统、网络安全存储系统、云桌面一体机等内容。,企业服务,企业安全,湖南,长沙,2015-04,运营中,,长沙高新开发区麒云路20号麒麟科技园1栋4楼,073-18877-7708,,,,,
易点云,北京易点淘网络技术有限公司,911101083180629225,https://www.edianzu.com,企业IT租赁服务与管理平台,易点云品牌属于北京易点淘网络技术有限公司，该公司是国内更受欢迎的企业IT租赁服务与管理平台，在行业领域内不断创新与突破，为企业提供企业IT设备租赁、企业IT运维、固定资产管理系统、设备回收，实现了企业IT服务的基础覆盖。易点云是企业IT租赁服务行业更受欢迎的品牌。用创新思维与优质的服务，改变了传统的企业设备购买模式，开启了中国企业IT租赁服务新时代。先后创造性的推出了一系列的服务，包括免押金、全程保修、全新电脑随用随还、重点城市2小时快速上门等。,企业服务,企业IT服务,北京,海淀区,2014-10,运营中,,北京市海淀区安宁庄南路易点租大厦,400-886-9528,bd@edianzu.com,纪鹏程,CEO,,
鸥玛软件,山东山大鸥玛软件股份有限公司,91370000772057998D,http://www.oumasoft.com/,软件和信息技术服务公司,"鸥玛软件是一家的高科技软件企业。以山东省软件工程技术中心、山东省图像采集与软件工程技术研究中心为平台，进行主要考试与测评领域信息化产品的研究、开发、销售及服务。
",企业服务,企业IT服务,山东,济南,2005-02,运营中,,山东省济南市高新区伯乐路128号,053-16668-0735,info@oumasoft.com,,,,
猎聘网,万仕道（北京）管理咨询股份有限公司,91110105793416662C,http://www.liepin.com,高端人才社区化招聘网站,猎聘网是一个高端人才社区化招聘网站，实现企业、猎头和职业经理人三方互动的职业发展平台，以经理人个人用户体验为核心，为求职者提供高薪职位、精准推荐等服务，为企业提供职位发布、品牌曝光、猎头沟通等服务。,企业服务,人力资源,北京,朝阳区,2006-10,运营中,,北京市朝阳区八里庄北里220号中远物流大厦配楼3层,400-6838-789,,戴科彬,CEO,,
人瑞人才,上海人瑞网络科技有限公司,913101080558962113,http://www.renruihr.com/index,人力资源综合服务提供商,人瑞集团是一家人力资源综合服务提供商，集人才外包、业务外包、招聘外包和企业内训等业务于一体，基于大数据运营的互联网招聘模式，帮助企业完成高效的招聘，此外还提供员工关系和福利管理、员工绩效管理和呼叫中心业务外包。,企业服务,人力资源,上海,静安区,2012-10,运营中,,上海市静安区恒丰路200号泰禾大厦7、8楼,021-8029-6600,qiuyangchenzi@renruihr.com,,,,
金蝶软件,金蝶软件（中国）有限公司,914403006188392540,http://www.kingdee.com,企业云服务ERP解决方案提供商,金蝶软件是一个企业云服务ERP解决方案提供商，注于提供标准、安全、高效、可控的云平台和中间件产品及专业服务。,企业服务,企业IT服务,广东,深圳,1993-06,运营中,,,,,陈武强,CEO,,
极光,深圳市和讯华谷信息技术有限公司,914403005977642993,https://www.jiguang.cn,实时大数据综合服务商,极光是中国领先的移动大数据服务商。公司自2011年成立以来专注于为app开发者提供稳定高效的消息推送、统计分析、即时通讯和短信等开发者服务，业务包括极光开发者服务、极光效果通和极光数据服务三大体系。,企业服务,数据服务,广东,深圳,2012-09,运营中,,深圳市南山区智恒产业园7栋5楼;南山区南头关口二路智恒战略性新兴产业园7栋501,400-612-5955;0755-83881462 ,sales@jiguang.cn;sall@jpush.cn,王小导,CEO,,
立方控股,杭州立方控股股份有限公司,91330100721062535Y,http://www.reformer.com.cn,智慧物联解决方案提供商和运营商,立方控股是一家智慧物联解决方案提供商和运营商。依据AIOT技术，提供智慧停车、门禁通道及安全应急的设备系统和运营服务，及其全套解决方案。为城市治理、企业管理、个人生活创造价值。,企业服务,行业信息化及解决方案,浙江,杭州,2000-04,运营中,,浙江省杭州市西湖区西斗门路3号天堂软件园D幢11楼A座,,,周林健,CEO,,
世纪互联,北京世纪互联宽带数据中心有限公司,9111010578615131XD,http://www.ch.21vianet.com,第三方的互联网基础设施服务提供商,世纪互联是全球具有重要影响力的网络空间基础设施服务提供商之一，也是中国领先的第三方中立数据中心运营商之一。世纪互联致力于提供业界领先的数据中心服务、中立的云运营及中立的混合IT服务，打造具有核心技术、超大规模运营能力、高附加值的网络空间基础设施运营平台。,企业服务,云服务,北京,朝阳区,2006-03,运营中,,北京市朝阳区酒仙桥东路10号,010-8456-2121,marketing@21vianet.com,,,,
榕基软件,福建榕基软件股份有限公司,913500006285075795,http://www.rongji.com,行业应用软件开发服务提供商,榕基软件是一家行业应用软件开发服务提供商，专注于电子政务、质检三点工程、协同管理、信息安全、应用中间件等领域产品的研发，为用户提供榕基政务信息化系统、榕基电子单证易查系统、榕基电子缴费系统等产品，同时旗下还拥有“榕基服务超市”，用户可在平台买到相关的软件。,企业服务,开发者服务,福建,福州,1993-10,运营中,,福州市鼓楼区铜盘路福州软件园产业基地,0591-8786-0988,luweiyi@rongji.com,,,,
莱斯信息,南京莱斯信息技术股份有限公司,913201001348786874,,民用指挥信息系统整体解决方案提供商,莱斯信息是民用指挥信息系统整体解决方案提供商，主要提供以指挥控制技术为核心的指挥信息系统整体解决方案和系列产品。目前已形成面向民航空中交通管理、城市道路交通管理、城市治理三大行业，提供空管自动化系统、空管场面管理系统、机场机坪塔台管制自动化系统、空管模拟机系统、空管流量管理系统、交通信号控制系统与设备、城市综合指挥平台、公共信用信息服务平台及人防应急指挥信息系统等核心产品的业务格局。,企业服务,企业IT服务,江苏,南京,1988-07,运营中,,南京市秦淮区永智路8号,025-8228-5905,les@les.cn,,,,
工大高科,合肥工大高科信息科技股份有限公司,91340100726317672P,http://www.gocom.cn,工程安全监控产品研发商,工大高科是一家专业从事具有物联网技术架构特征的矿井移动目标安全监控、铁路信号控制与智能调度产品研发、生产的企业服务提供商。,企业服务,行业信息化及解决方案,安徽,合肥,2000-12,运营中,,安徽省合肥市合肥国家高新技术产业开发区天智路27号,0551-65256623,gocom@gocom.cn,魏臻,创始人,,
Boss直聘,北京华业基石网络技术有限公司,91110105059255438G,http://www.bosszhipin.com,BOSS与牛人直接开聊的招聘工具,BOSS直聘是一款BOSS与牛人直接开聊的招聘工具，通过去除中间环节、简历+行为数据匹配等方式提升招聘找工作效率，让牛人更快获得更多优质机会。平台覆盖主流互联网公司、金融、文化传媒、汽车房地产等行业。北京华业基石网络技术有限公司（看准网）旗下产品。,企业服务,人力资源,北京,朝阳区,2012-12,运营中,,北京市朝阳区太阳宫中路8号冠捷大厦302,010-8415-0633,liuna@kanzhun.com,赵鹏,CEO,,
普联软件,普联软件股份有限公司,913701007317289784,http://www.pansoft.com/,企业管理信息化方案及IT综合服务提供商,普联软件是大型企业管理信息化方案及IT综合服务提供商，主要面向石油、化工、建筑、地产、电力、矿产、装备制造、银行、保险、政府事业等行业客户，广泛从事生产、经营、财务、资金、内控、监管、人力资源等领域的信息化服务，提供信息系统的方案设计、软件开发、系统实施及技术支持。,企业服务,行业信息化及解决方案,山东,济南,2001-09,运营中,,济南市高新区齐鲁软件园B座,0531-8887-2656,,,,,
北森,北京北森云计算股份有限公司,91110108775491714G,http://www.beisen.com,一体化人才管理云平台供应商,北森是一家人力资源科技公司，拥有国内领先的一体化HR SaaS及人才管理平台——iTalentX， 为客户提供云端HR软件、人才管理技术和平台的端到端整体解决方案。,企业服务,人力资源,北京,海淀区,2002-01,运营中,,北京市海淀区上地东路35号颐泉汇7层,400-650-6878,marketing@beisen.com,王朝晖,董事长,,
亚信安全,亚信安全科技股份有限公司,91510100732356360H,http://www.asiainfo-sec.com/,网络安全软件提供商,亚信安全是中国网络安全软件领域的领跑者，作为“懂网、懂云”的安全公司，致力于护航产业互联网，成为在5G云网时代，守护云、网、边、端的安全智能平台企业。,企业服务,企业安全,江苏,南京,2014-11,运营中,,南京市雨花台区花神大道98号东久创新中心1号楼1-4F,181-6810-7202,191953759@qq.com,,,,
金山办公,北京金山办公软件股份有限公司,91110108587665983J,http://www.wps.cn/,办公软件工具,金山办公(688111.SH )，是全球领先的办公软件和服务提供商，主要从事 WPS Office 办公软件产品及服务的设计研发及销售推⼴。著名产品包括 WPS Office 办公软件、⾦⼭⽂档等协同办公产品、⾦⼭词霸等，可在 Windows、Linux、macOS、Android、iOS 等众多主流操作平台上应⽤。,企业服务,办公OA,北京,海淀区,1988-06,运营中,,北京市海淀区小营西路33号二层商业办公C区,4006-775-005,zhangbo1@kingsoft.com,章庆元,金山办公CEO,,
线上线下,无锡线上线下通讯信息技术股份有限公司,913202110535042298,http://www.wxxsxx.cn/,移动互联网运营支撑服务商,线上线下是一家具有丰富行业经验的移动信息服务提供商。“线上线下”依托于体系化的服务流程、自主研发的业务平台，通过对电信运营商的通信资源的整合，秉承“技术驱动服务、深耕行业客户、连接创造价值”的企业文化理念，致力于为客户提供安全、有效、及时的移动信息服务。,企业服务,企业IT服务,江苏,无锡,2012-09,运营中,,无锡市高浪东路999号-8-C1-701,0510-6888-0518,wangxj@wxxsxx.co,,,,
光环新网,北京光环新网科技股份有限公司,91110000700006921H,http://www.sinnet.com.cn,一家互联网基础设施综合服务提供商,光环新网是一家互联网基础设施综合服务提供商，主营业务为向客户提供互联网宽带接入服务（ISP）、互联网数据中心服务（IDC、CDN及其增值服务）以及其他互联网综合服务。,企业服务,企业IT服务,北京,东城区,1999-01,运营中,,,,,,,,
亚康万玮,北京亚康万玮信息技术股份有限公司,91110108663124944W,,IT服务企业,亚康万玮是一家集系统集成、 IT服务于一体的高速成长的IT企业。主要面向企业提供IT的基础产品和基于IT产品的专业化服务及系统解决方案，并与多家国际知名IT厂商有着密切的合作。,企业服务,企业IT服务,北京,海淀区,2007-06,运营中,,北京市海淀区丹棱街18号805室,010-5883-4060,qxu@asiacom.net.cn,,,,
文思海辉,文思海辉技术有限公司,9111010876420170XR,http://www.pactera.com/,中国最大的软件外包公司,文思海辉是一家软件开发外包公司，覆盖了从战略、设计、开发、测试到维护的整个IT价值链。,企业服务,企业IT服务,北京,海淀区,2004-07,运营中,,北京市海淀区西小口路66号东升科技园C区4号楼502室,+86-400-822-8372,info@pactera.com,陈淑宁,董事长,,
鸿冠信息,上海鸿冠信息科技股份有限公司,91310000792763857Q,http://www.hongguaninfo.com,IT综合服务提供商,鸿冠信息是一家IT综合服务提供商，是上海市软件企业、高新技术企业，提供计算机软件开发实施、IT信息技术咨询服务、高端的企业与商业信息化解决方案服务。,企业服务,企业IT服务,上海,黄浦区,2006-09,运营中,,上海市黄浦区汉口路300号解放日报大厦10楼,021-5240-1298,hr@hongguaninfo.com;hejian@hongguaninfo.com,,,,
山石网科,山石网科通信技术股份有限公司,91320505578177101Y,http://www.hillstonenet.com.cn/,网络安全解决方案提供商,山石网科是一家网络安全解决方案提供商，业务涵盖云计算安全、边界安全、内网安全、数据安全、智能分析管理等领域，产品“智能防火墙”基于自主研发的安全操作系统StoneOS，用智能关联分析方法实现基于信誉的安全管理控制。,企业服务,企业安全,北京,海淀区,2007-02,运营中,,北京市海淀区宝盛南路1号院20号楼5层,400-828-6655,marketing@hillstonenet.com,罗东平,CEO,,
威士顿,上海威士顿信息技术股份有限公司,9131000070326044X6,http://www.wsdinfo.com/,企业信息系统解决方案提供商,上海威士顿信息技术股份有限公司成立于2001年，是专注于智能制造和大数据领域的整体信息化解决方案供应商。公司的主营业务是向客户提供企业信息系统解决方案的咨询、设计、开发、实施、运维等各类信息化产品和服务。,企业服务,行业信息化及解决方案,上海,长宁区,2001-05,运营中,,上海市长宁区长宁路999号643室,,mkt@wsdinfo.com,,,,
英方软件,上海英方软件股份有限公司,91310000580604539W,http://www.i2yun.com/,专注于数据复制和灾备服务,英方软件是一家专注于数据复制的基础软件企业，致力于动态文件复制、数据库复制等核心技术的研发与应用，拥有国内唯一的字节级复制技术，产品广泛应用于灾备、数据保护、云数据管理等领域，帮助各类用户打破数据孤岛，实现数据互联互通，为数字经济的发展保驾护航。英方云（i2yun.com）是英方旗下企业业务连续性云服务平台，基于互联网为用户提供迁移、灾备和高可用等服务。,企业服务,企业IT服务,上海,闵行区,2011-08,运营中,,上海市浦锦路2049弄万科VMO花园广场38幢6楼615室,400-6178-601,info@info2soft.com,胡军擎,董事长,,
杰创智能,杰创智能科技股份有限公司,91440101683276435R,http://www.nexwise.cn/,智能化解决方案提供商,杰创智能是一家智能化解决方案提供商，致力于智能安全、模式识别、云计算、智能系统应用，提供智能管理系统、公共安全智能系统，同时提供智能系统基础设施建设解决方案，覆盖公共安全、智慧监管、智慧园区、智慧校园、智慧交通等多个领域。,企业服务,行业信息化及解决方案,广东,广州,2008-12,运营中,,广东省广州市高新技术产业开发区科学大道162号B3栋,020-8398-2000,xuxl@nexwise.com.cn,,,,
新世纪电子,杭州新世纪电子科技有限公司,91330108757207935F,http://www.nci.com.cn/nportal/portal/,端到端及信息化解决方案提供商,新世纪电子是一家端到端及信息化解决方案提供商，主要面向电力、烟草等行业用户提供应用软件开发、系统集成及技术服务，旗下拥有电网设备资源管控、电力生产管理、地理信息管理GIS等产品。,企业服务,行业信息化及解决方案,浙江,杭州,2003-12,运营中,,杭州市滨江区浦沿街道南环路3766号,,,,,,
优客工场,优客工场（北京）创业投资有限公司,91110113335534135Y,http://www.urwork.cn/,主打创业的共享办公空间,优客工场是一个创业联合办公社区及创业服务平台，以联合办公空间为核心，为创新企业提供全产业链服务，建设基于社群的商业社交平台和资源配置平台，形成了联合办公空间、FA平台、人力资源、体育旅游、金融服务、创业教育等业态的完整闭环。,企业服务,创业服务,北京,朝阳区,2015-04,运营中,,北京市朝阳区光华路2号阳光100D座,400-1188-891,us@urwork.cn,毛大庆,CEO,,
声迅股份,北京声迅电子股份有限公司,911101081011420915,http://www.telesound.com.cn/,安防整体解决方案和运营服务提供商,声迅股份是一家以智能技术和物联网平台为核心的安防整体解决方案和运营服务提供商。自成立以来一直专注于安防行业，逐步聚焦于AIoT技术（即AI+IoT，人工智能和物联网平台）在监控报警及安全检查等领域的应用，为金融、轨道交通、城市公共安全的行业用户提供智能化、信息化、行业化的安防整体解决方案和安防运营服务。,企业服务,企业安全,北京,海淀区,1994-01,运营中,,北京市海淀区永丰高新技术产业基地丰贤中路7号孵化楼四层,010-6298-8833,zongcaiban@telesound.com.cn,谭政,董事长兼总经理,,
长和,综合型服务提供商,,https://www.ckh.com.hk/en/global/home.php,综合型服务提供商,长江和记实业有限公司(「长和」)为长和集团的旗舰。长和集团是一家建基香港的跨国企业，业务遍及全球超过五十个国家，雇员人数超过二十九万名。长和集团在香港的成员包括三家同为恒生指数成份股的上市公司：长和(股份代号: 0001)、和记黄埔有限公司 (股份代号: 0013)及电能实业有限公司 (前称香港电灯集团有限公司)(股份代号: 0006)；在香港联合交易所主板上市的长江基建集团有限公司 (股份代号: 1038)、长江生命科技集团有限公司 (股份代号: 0775)、和记电讯香港控股有限公司 (股份代号: 0215)及TOM集团有限公司 (股份代号: 2383)等。截至二零一五年三月三十一日，长和集团旗下在香港上市之公司的总市值约为一万一千九百七十亿港元。,企业服务,综合企业服务,香港,中西区,2014-12,运营中,,香港皇后大道中2号长江集团中心48楼,,,,,,
苏交科,苏交科集团股份有限公司,91320000741339087U,,基础设施领域综合解决方案供应商,苏交科是一家基础设施领域综合解决方案供应商，业务涉及公路、市政、水运、铁路、航空、水利、建筑等行业，可以提供包括投融资、项目投资分析、规划咨询、勘察设计、施工监理、工程检测、项目管理、运营养护、新材料研发等全产业链服务。,企业服务,行业信息化及解决方案,江苏,南京,2002-08,运营中,,江苏省南京市建邺区富春江东街8号,025—8657-6555,,,,,
华宇软件,北京华宇软件股份有限公司,91110000726360320G,https://www.thunisoft.cn/,电子政务领域软件及信息服务提供商,华宇软件是一家电子政务领域软件及信息服务提供商，业务涵盖了用户信息系统的全生命周期，具体包括信息化系统规划咨询、应用软件定制开发、信息化系统建设、信息化应用推广、信息化系统运维服务等。,企业服务,行业信息化及解决方案,北京,海淀区,2001-06,运营中,,北京市海淀区中关村东路1号院清华科技园科技大厦C座25层,010-8262-2288,guoxin@thunisoft.com,,,,
天泽信息,天泽信息产业股份有限公司,9132000072058020XK,http://www.tiza.com.cn/,产业互联网IT服务提供商,"天泽信息是产业互联网IT服务提供商，目前已形成智能制造、现代农业、公共事业与流通、海外及投资等四大业务群，公司针对高端装备制造企业、交通及物流运输等行业提供以物联网技术为核心的信息管理解决方案及相关的软、硬件产品与服务。
",企业服务,企业IT服务,江苏,南京,2000-05,运营中,,中国 南京 建邺区 云龙山路80号,400-800-7999,,,,,
元力控股,元力控股有限公司,,http://www.oneforce.com.cn/,电力行业信息技术服务提供商,"元力控股是一家电力行业信息技术服务提供商，主要向各电网公司及电力零售公司提供软件系统及技术服务，业务还涉及电力交易相关技术服务、电力交易平台相关外包服务和软件系统作电力营销相关数据采集及监控用户服务。
",企业服务,企业IT服务,香港,中西区,2016-12,运营中,,,,,,,,
荧德控股,荧德控股有限公司,,http://www.vistarholdings.com,楼宇消防解决方案提供商,"荧德控股是一家楼宇消防解决方案提供商，主要为用户提供设计、供应、安装、修改、维修消防喷淋系统、消防栓系统、自动报警系统、水幕系统、气体灭火系统、泡沫灭火系统及有关防火产品。
",企业服务,企业安全,香港,荃湾区,2017-09,运营中,,,,,,,,
桥英控股,桥英控股有限公司,,http://www.omnibridge.com.hk/,人力资源服务提供商,"桥英控股是一家人力资源服务提供商，主要为用户提供人力资源外包服务以及人力资源招聘服务，通过多种渠道寻找和聘用符合用户指定职位描述的合适人选，旨在帮助用户招聘。
",企业服务,人力资源,香港,中西区,2016-09,运营中,,香港金钟夏悫道18号海富中心2座5楼506室,00852-2117-3002,ir@omnibridge.com.hk,,,,
