公司ID,公司简称,工商全称,统一信用代码,官网,一句话简介,公司简介,行业,子行业,省,市,成立时间,运营状态,融资总额(万人民币),估值(万人民币),估值(估算-万人民币),年营收(亿元),年度利润(亿元),员工人数,融资时间,轮次,金额,币种,等值人民币(万),投资机构,地址,电话,邮箱,团队姓名,职位
227,中科创达,中科创达软件股份有限公司,91110000672354637K,http://www.thundersoft.com,智能操作系统产品和技术提供商,中科创达是一家智能操作系统产品和技术提供商。致力于提供卓越的智能操作系统产品、技术及解决方案，立足智能终端操作系统，聚焦人工智能关键技术，助力并加速智能手机、智能物联网、智能网联汽车、智能行业等领域的产品化与技术创新。,企业服务,企业IT服务,北京,海淀区,2008-03,运营中,258100,2377300,850500,52.42,4.24,13119,2020-08-12,IPO上市后,17.01亿,人民币,170100,"中金公司,易方达基金,太平洋保险,国泰君安,中信建投资本,阳光保险,嘉实投资-嘉实基金,大正投资集团,财通基金,中意资产",,,TIANZY1225@THUNDERSOFT.COM,耿增强,总裁
,,,,,,,,,,,,,,,,,,,2015-11-23,IPO上市,5.82亿,人民币,58200,,,,,赵鸿飞,CEO
,,,,,,,,,,,,,,,,,,,2014-11-05,B轮,数千万,美元,19500,英特尔投资Intel Capital,,,,段志强,CTO
,,,,,,,,,,,,,,,,,,,2011-06-01,A轮,1亿,人民币,10000,"北极光创投,高通Qualcomm Ventures,国科投资",,,,,
,,,,,,,,,,,,,,,,,,,2010-09-09,天使轮,数百万,人民币,300,PreAngel,,,,,
27354,永信至诚,永信至诚科技集团股份有限公司,91110108562135265P,http://www.integritytech.com.cn/,专精于各类信息安全系统、平台及定制化软件,永信至诚是一家专业的网络安全公司。基于核心团队深厚的攻防技术基因，秉承“人是安全的核心”的主导思想，主营产品包括政企网络安全产品、政企网络安全服务及互联网安全业务。公司打造了国内知名的网络安全教育平台，是网安人才培养领军企业；举办了一系列影响力重大的网络安全赛事和演练活动；研制了具备国内领先水平的城市级网络靶场；开创性地研制了高处置态势感知和高甜度春秋云阵蜜罐类产品。公司践行“聚焦优势、合作共生、有信有诺”的价值观，追求实现“带给世界安全感”的愿景使命。,企业服务,企业安全,北京,海淀区,2010-09,运营中,109100,230400,288000,3.31,0.573891,453,2022-10-19,IPO上市,5.76亿,人民币,57600,,北京市海淀区丰豪东路9号院6号楼,010-5086-6166,liuxiu@integritytech.com.cn,蔡晶晶,CEO
,,,,,,,,,,,,,,,,,,,2020-11-20,战略投资,2亿,人民币,20000,"金融街资本,熙诚金睿",,,,,
,,,,,,,,,,,,,,,,,,,2017-12-13,退市,未透露,人民币,10000,,,,,,
,,,,,,,,,,,,,,,,,,,2017-06-19,新三板定增,7500万,人民币,7500,"英华资本,奇安投资",,,,,
,,,,,,,,,,,,,,,,,,,2016-05-23,新三板,未透露,人民币,10000,,,,,,
,,,,,,,,,,,,,,,,,,,2015-05-12,B轮,数千万,人民币,3000,奇虎360,,,,,
,,,,,,,,,,,,,,,,,,,2014-04-08,A轮,1000万,人民币,1000,启明星辰,,,,,
40688508,数科集团,数科集团控股有限公司,,http://www.mttgholdings.com/,垂直整合资讯科技解决方案供应商,数科集团是一家垂直整合资讯科技解决方案供应商，主要从事于香港分销资讯科技产品以及于香港、中国及澳门提供系统整合解决方案，其产品及解决方案主要分为数据通讯及系统基建、网络安全及数码转型，其向经销商介绍、营销及分销包括硬件、软件及或配套产品在内种类丰富的资讯科技产品。,企业服务,企业IT服务,香港,九龙城区,2020-09,运营中,5696,42560,28480,7.57,0.52965,173,2022-09-26,IPO上市,7120万,港元,5696,,香港九龙观塘巧明街107号国基集团中心8楼,00852-3755-8400,Info@mttgholdings.com,,
2428,趣活科技, 趣活有限公司,911101085923799229,http://www.meishisong.cn/,多场景人力资源资产运营解决方平台,趣活科技是一个劳动力运营解决方案平台，可为包括美团、饿了么、滴滴等大型生活服务平台提供灵活用工解决方案、第三方业务管理平台、劳动者技能提升等服务，业务涉及外卖即时配送、网约车司机管理、共享单车运维等多个场景。,企业服务,人力资源,北京,朝阳区,2012-03,运营中,49700,2145,107250,37.02,0.05081,495,2020-07-10,IPO上市,3300万,美元,21450,,,,,孙莉莉,联合创始人
,,,,,,,,,,,,,,,,,,,2016-04-20,C轮,1000万,美元,6500,"软银中国资本,锴明投资ClearVue",,,,杨树轶,联合创始人
,,,,,,,,,,,,,,,,,,,2014-06-30,B轮,数千万,美元,19500,"百度,软银中国资本",,,,,
,,,,,,,,,,,,,,,,,,,2013-08-01,A轮,数百万,美元,1950,软银中国资本,,,,,
,,,,,,,,,,,,,,,,,,,2012-03-02,天使轮,数百万,人民币,300,"PreAngel,起点资本,长石资本,查立",,,,,
21629,声网Agora, 声网有限公司,91310110093802968T,http://agora.io/,移动端音视频实时传输的云服务解决方案,声网 Agora.io 是首家为 App 开发者提供全球范围实时音视频通信服务的服务商，在全球部署了超过 200 个数据中心，搭建 SD－RTN™(Software Defined Real Time Network)这个专为「实时」所设计的虚拟通信网，来极大优化全球范围内的实时传输。声网Agora.io 为开发者提供有质量保证 QoE 的实时云服务。,企业服务,企业IT服务,上海,杨浦区,2014-03,运营中,482950,149500,149500,1.42,-0.86797,1022,2020-06-26,IPO上市,4.6亿,美元,299000,,上海市杨浦区伟成路62号5层,400-632-6626,Sales@agora.io,赵斌,CEO
,,,,,,,,,,,,,,,,,,,2020-06-22,基石轮,1.6亿,美元,104000,"Dragoneer Investment Group,Coatue Management,Neumann Advisors,Vitruvian Partners维恩资本",,,,陶思明,CTO
,,,,,,,,,,,,,,,,,,,2018-11-21,C轮,7000万,美元,45500,"五源资本,顺为资本,SIG海纳亚洲,Coatue Management",,,,Ed Brakus,全球产品管理负责人
,,,,,,,,,,,,,,,,,,,2018-06-11,B+轮,3000万,美元,19500,"五源资本,纪源资本,顺为资本,SIG海纳亚洲",,,,楼剑,首席视频科学家
,,,,,,,,,,,,,,,,,,,2015-09-17,B轮,2000万,美元,13000,"IDG资本,五源资本,纪源资本,顺为资本,SIG海纳亚洲",,,,,
,,,,,,,,,,,,,,,,,,,2014-03-12,A轮,数百万,美元,1950,顺为资本,,,,,
39919882,动力源,北京动力源科技股份有限公司,911100001021218238,http://www.dpc.com.cn,科技推广和应用服务商,动力源是一家科技推广和应用服务商，经营范围包括电力电子产品、计算机软件及辅助设备、通信设备、节能工程、新能源汽车、新能源发电工程的技术开发、技术转让、技术咨询、技术服务、技术推广；新能源汽车换电设施的技术开发；光伏设备及元器件、充电桩的技术开发；生产计算机软硬件；销售电力电子产品、计算机软件及辅助设备、仪器仪表、环保设备、新能源汽车及配件产品。,企业服务,其他企业服务,北京,丰台区,1995-01,运营中,,256200,,10.42,-1.46,2189,2004-04-01,IPO上市,2.49亿,人民币,,,北京市丰台区科技园区星火路8号,010-8368-2266,sqh@dpc.com.cn,何振亚,CEO
30626,致远互联,北京致远互联软件股份有限公司,91110108737656338N,http://www.seeyon.com/,协同管理软件及云服务提供商,北京致远协创软件是一家主打协同管理软件的企业服务提供商，目前形成了从私有云到公有云、从互联网到移动互联网、从企业内部协同到外部协同的完整产品线及解决方案。,企业服务,办公OA,北京,海淀区,2002-03,运营中,133350,577400,475500,10.32,0.951091,2699,2019-10-31,IPO上市,9.51亿,人民币,95100,,北京市海淀区北坞村路甲25号静芯园N座,4007-008-822,security@seeyon.com,徐石,CEO
,,,,,,,,,,,,,,,,,,,2016-04-01,C轮,数亿,人民币,30000,"正和岛正和磁系资本,云鼎资本,新疆绿洲资本",,,,,
,,,,,,,,,,,,,,,,,,,2015-12-11,B轮,5250万,人民币,5250,"263网络通信(二六三),随锐科技",,,,,
,,,,,,,,,,,,,,,,,,,2010-03-12,A轮,数千万,人民币,3000,用友幸福投资,,,,,
3151,金山云,金山云,9111010857121431XA,http://www.ksyun.com,云计算服务提供商,金山云2012年从金山软件拆分独立，是一家云计算服务提供商，已推出云服务器、云物理主机、关系型数据库、缓存、表格数据库、对象存储、负载均衡、虚拟私有网络、CDN、托管Hadoop、云安全、云解析等在内的完整云产品，以及适用于游戏、视频、政务、医疗、金融等垂直行业的云服务解决方案。金山云一直进行人工智能的研究和实践工作，推出的覆盖IaaS、Paas、SaaS、行业解决方案四个层面，适用于各行业的多种组合型AI解决方案和服务。,企业服务,企业IT服务,北京,海淀区,2011-03,运营中,989912,605760,40000,72.26,-21.66,4221,2022-12-30,IPO上市,未透露,港元,8000,,北京市海淀区小营西路33号金山软件大厦,010-6292-7777,ksyundns@kingsoft.com,张宏江,CEO
,,,,,,,,,,,,,,,,,,,2020-05-09,IPO上市,5.1亿,美元,331500,,,,,王育林,CEO
,,,,,,,,,,,,,,,,,,,2019-12-03,D+轮,5000万,美元,32500,"建银国际,中国互联网投资基金",,,,,
,,,,,,,,,,,,,,,,,,,2018-01-29,D轮,7.2亿,美元,468000,"顺为资本,金山软件,骊悦投资,中民投,光远资本,天际资本FutureX Capital",,,,,
,,,,,,,,,,,,,,,,,,,2016-05-09,C+轮,5000万,美元,32500,CM投资,,,,,
,,,,,,,,,,,,,,,,,,,2016-02-06,C轮,6000万,美元,39000,"IDG资本,金山软件,华夏基金",,,,,
,,,,,,,,,,,,,,,,,,,2015-03-28,B+轮,5266万,美元,34229,"IDG资本,金山软件",,,,,
,,,,,,,,,,,,,,,,,,,2014-08-01,B轮,数亿,人民币,30000,小米集团,,,,,
,,,,,,,,,,,,,,,,,,,2013-08-01,A轮,2000万,美元,13000,DST Global,,,,,
,,,,,,,,,,,,,,,,,,,2012-12-01,天使轮,182万,美元,1183,"小米集团,雷军",,,,,
9637,品高软件,广州市品高软件股份有限公司,91440101745973157W,http://www.bingocc.com,IT综合服务提供商,品高软件主营业务是以大型应用软件为核心，在云计算、企业门户、工作流、知识管理、项目管理等IT领域提供软件产品研发、高端行业应用项目开发和顾问咨询服务。,企业服务,企业IT服务,广东,广州,2010-01,运营中,91720,419300,458600,4.71,0.572382,966,2021-12-30,IPO上市,9.17亿,人民币,91720,,广州市天河区高唐软件产业基地软件路17号G1栋,020-8701-1227,,黄海,CEO
39107988,旗天科技集团,旗天科技集团股份有限公司,913100006073633775,https://www.qt300061.com/,数字生活营销服务商,旗天科技集团是新一代信息技术下的、拥有自主研发能力的数字科技营销企业，主要服务于银行等持牌金融机构和头部互联网公司，开展面向其海量个人客户的数字科技增值营销业务 。其中数字生活营销业务、银行卡增值营销业务、航旅信息服务业务三大细分业务，交易规模和行业影响力在行业中均居于头部地位。,企业服务,前沿技术,上海,浦东新区,1996-12,运营中,27000,317500,135000,12.56,0.66561,876,2010-03-19,IPO上市,2.7亿,人民币,27000,,上海市浦东新区张江丹桂路999号张江国创中心一期C5幢,021-8039-588,office@kq.300061.com;limy@qt300061.com,,
39086273,智微智能,深圳市智微智能科技股份有限公司,91440300582702079P,http://www.jwipc.com,物联网核心解决方案商,智微智能是一家物联网核心解决方案商，主营产品包括：主板、一体机、OPS模块录播系统、云终端、播放终端、手持支付设备、多功能支付终端、工业主板、工业BOX、工业平板、网安平台和服务器等。,企业服务,行业信息化及解决方案,广东,深圳,2011-09,运营中,104100,416000,520500,27,2.15,1621,2022-08-15,IPO上市,10.41亿,人民币,104100,,深圳市福田区车公庙泰然九路海松大厦B-1303,0755-2398-1887,zenglj@jwele.com.cn,,
39069018,麒麟信安,湖南麒麟信安科技股份有限公司,914301003385143085,http://www.kylinsec.com.cn,信息安全解决方案提供商,麒麟信安是一家信息安全解决方案提供商，旗下拥有操作系统、信息安全和云计算三条自主研发产品线，主营业务包括麒麟操作系统、电子信息集中管控系统、网络安全存储系统、云桌面一体机等内容。,企业服务,企业安全,湖南,长沙,2015-04,运营中,103100,260000,50000,4,"1,39",579,2024-02-01,IPO上市后,未透露,人民币,10000,,长沙高新开发区麒云路20号麒麟科技园1栋4楼,073-18877-7708,,,
,,,,,,,,,,,,,,,,,,,2022-10-28,IPO上市,9.1亿,人民币,91000,,,,,,
,,,,,,,,,,,,,,,,,,,2018-02-02,A轮,未透露,人民币,2000,"天创资本,华软资本CSC,昭德投资",,,,,
,,,,,,,,,,,,,,,,,,,2016-03-01,天使轮,未透露,人民币,100,长沙捷清,,,,,
19694,易点云,北京易点淘网络技术有限公司,911101083180629225,https://www.edianzu.com,企业IT租赁服务与管理平台,易点云品牌属于北京易点淘网络技术有限公司，该公司是国内更受欢迎的企业IT租赁服务与管理平台，在行业领域内不断创新与突破，为企业提供企业IT设备租赁、企业IT运维、固定资产管理系统、设备回收，实现了企业IT服务的基础覆盖。易点云是企业IT租赁服务行业更受欢迎的品牌。用创新思维与优质的服务，改变了传统的企业设备购买模式，开启了中国企业IT租赁服务新时代。先后创造性的推出了一系列的服务，包括免押金、全程保修、全新电脑随用随还、重点城市2小时快速上门等。,企业服务,企业IT服务,北京,海淀区,2014-10,运营中,192068,468160,238800,13.02,-9.02,1734,2023-05-25,IPO上市,5.97亿,港元,47760,,北京市海淀区安宁庄南路易点租大厦,400-886-9528,bd@edianzu.com,纪鹏程,CEO
,,,,,,,,,,,,,,,,,,,2023-05-07,基石轮,1亿,人民币,10000,策源资本,,,,张斌,COO
,,,,,,,,,,,,,,,,,,,2021-03-16,E轮,5亿,人民币,50000,"经纬创投,源码资本,InnoVen Capital毅峰资本,云时资本",,,,常凯斯,联合创始人
,,,,,,,,,,,,,,,,,,,2019-02-20,D+轮,数百万,美元,1950,云时资本,,,,,
,,,,,,,,,,,,,,,,,,,2018-10-16,D轮,6000万,美元,39000,源码资本,,,,,
,,,,,,,,,,,,,,,,,,,2018-03-21,C轮,3200万,美元,20800,"经纬创投,顺为资本,源码资本,洪泰基金,考拉基金",,,,,
,,,,,,,,,,,,,,,,,,,2017-10-18,B轮,1.2亿,人民币,12000,"经纬创投,顺为资本,洪泰基金,考拉基金",,,,,
,,,,,,,,,,,,,,,,,,,2016-12-30,Pre-B轮,7000万,人民币,7000,"经纬创投,顺为资本,考拉基金,1898创投",,,,,
,,,,,,,,,,,,,,,,,,,2015-09-22,A轮,455万,美元,2958,"经纬创投,顺为资本",,,,,
,,,,,,,,,,,,,,,,,,,2015-06-10,天使轮,600万,人民币,600,"洪泰基金,1898创投",,,,,
38954045,鸥玛软件,山东山大鸥玛软件股份有限公司,91370000772057998D,http://www.oumasoft.com/,软件和信息技术服务公司,"鸥玛软件是一家的高科技软件企业。以山东省软件工程技术中心、山东省图像采集与软件工程技术研究中心为平台，进行主要考试与测评领域信息化产品的研究、开发、销售及服务。
",企业服务,企业IT服务,山东,济南,2005-02,运营中,45570,182200,227850,2.1,0.880975,342,2021-11-19,IPO上市,4.56亿,人民币,45570,,山东省济南市高新区伯乐路128号,053-16668-0735,info@oumasoft.com,,
7826,猎聘网, 同道猎聘集团,91110105793416662C,http://www.liepin.com,高端人才社区化招聘网站,猎聘网是一个高端人才社区化招聘网站，实现企业、猎头和职业经理人三方互动的职业发展平台，以经理人个人用户体验为核心，为求职者提供高薪职位、精准推荐等服务，为企业提供职位发布、品牌曝光、猎头沟通等服务。,企业服务,人力资源,北京,朝阳区,2006-10,运营中,477020,1161600,1161600,24.37,0.29503,2000,2018-06-29,IPO上市,29.04亿,港元,232320,,北京市朝阳区八里庄北里220号中远物流大厦配楼3层,400-6838-789,,戴科彬,CEO
,,,,,,,,,,,,,,,,,,,2016-06-28,D轮,数亿,美元,195000,"经纬创投,千合资本,中移创新产业基金(中国移动),华泰证券,信达汉石,天弘基金,天时开元,国投创新,钜派投资",,,,戴科英,联合创始人
,,,,,,,,,,,,,,,,,,,2014-04-14,C轮,7000万,美元,45500,"经纬创投,华平投资",,,,,
,,,,,,,,,,,,,,,,,,,2013-01-31,B轮,数百万,美元,1950,经纬创投,,,,,
,,,,,,,,,,,,,,,,,,,2011-11-13,A轮,数百万,美元,1950,经纬创投,,,,,
,,,,,,,,,,,,,,,,,,,2010-01-12,天使轮,数百万,人民币,300,58同城,,,,,
3016,人瑞人才,上海人瑞网络科技有限公司,913101080558962113,http://www.renruihr.com/index,人力资源综合服务提供商,人瑞集团是一家人力资源综合服务提供商，集人才外包、业务外包、招聘外包和企业内训等业务于一体，基于大数据运营的互联网招聘模式，帮助企业完成高效的招聘，此外还提供员工关系和福利管理、员工绩效管理和呼叫中心业务外包。,企业服务,人力资源,上海,静安区,2012-10,运营中,89760,319120,368800,45.44,0.74579,"34,934",2019-12-13,IPO上市,9.22亿,港元,73760,,上海市静安区恒丰路200号泰禾大厦7、8楼,021-8029-6600,qiuyangchenzi@renruihr.com,,
,,,,,,,,,,,,,,,,,,,2016-03-11,C轮,1亿,人民币,10000,"Macquarie麦格理,基石资本",,,,,
,,,,,,,,,,,,,,,,,,,2014-04-24,B轮,数千万,人民币,3000,"君联资本,Macquarie麦格理",,,,,
,,,,,,,,,,,,,,,,,,,2012-05-01,A轮,数千万,人民币,3000,君联资本,,,,,
20908,金蝶软件,金蝶国际,914403006188392540,http://www.kingdee.com,企业云服务ERP解决方案提供商,金蝶软件是一个企业云服务ERP解决方案提供商，注于提供标准、安全、高效、可控的云平台和中间件产品及专业服务。,企业服务,企业IT服务,广东,深圳,1993-06,运营中,329742,3600000,650000,61.29,-3.5,11968,2023-12-11,IPO上市后,2亿,美元,130000,卡塔尔投资局QIA,,,,陈武强,CEO
,,,,,,,,,,,,,,,,,,,2017-03-27,IPO上市后,1400万,美元,9100,"京东,涌金集团",,,,,
,,,,,,,,,,,,,,,,,,,2015-07-13,战略投资,5880万,人民币,5880,太极股份,,,,,
,,,,,,,,,,,,,,,,,,,2015-05-18,IPO上市后,1.71亿,美元,111150,京东,,,,,
,,,,,,,,,,,,,,,,,,,2007-06-11,IPO上市后,844万,美元,5486,,,,,,
,,,,,,,,,,,,,,,,,,,2001-02-15,IPO上市,未透露,美元,65000,,,,,,
,,,,,,,,,,,,,,,,,,,1999-11-03,B轮,241万,美元,1566,IDG资本,,,,,
,,,,,,,,,,,,,,,,,,,1998-05-01,A轮,240万,美元,1560,IDG资本,,,,,
1969,极光, 和讯华谷信息技术有限公司,914403005977642993,https://www.jiguang.cn,实时大数据综合服务商,极光是中国领先的移动大数据服务商。公司自2011年成立以来专注于为app开发者提供稳定高效的消息推送、统计分析、即时通讯和短信等开发者服务，业务包括极光开发者服务、极光效果通和极光数据服务三大体系。,企业服务,数据服务,广东,深圳,2012-09,运营中,178100,433550,650000,2.9,-0.64554,460,2018-07-27,IPO上市,2亿,美元,130000,,深圳市南山区智恒产业园7栋5楼;南山区南头关口二路智恒战略性新兴产业园7栋501,400-612-5955;0755-83881462 ,sales@jiguang.cn;sall@jpush.cn,王小导,CEO
,,,,,,,,,,,,,,,,,,,2017-07-06,D轮,数千万,美元,19500,富达投资Fidelity Investments,,,,方家文,产品总监
,,,,,,,,,,,,,,,,,,,2016-06-30,C轮,数千万,美元,19500,"曼图资本Mandra Capital,TCL创投,复星锐正资本,Sinar Mas Group/金光集团,国海创新资本,汉鼎宇佑",,,,张虎,CTO(已离职)
,,,,,,,,,,,,,,,,,,,2015-05-20,B轮,1000万,美元,6500,"IDG资本,曼图资本Mandra Capital,复星锐正资本",,,,,
,,,,,,,,,,,,,,,,,,,2014-06-12,A轮,400万,美元,2600,IDG资本,,,,,
28212,立方控股,杭州立方控股股份有限公司,91330100721062535Y,http://www.reformer.com.cn,智慧物联解决方案提供商和运营商,立方控股是一家智慧物联解决方案提供商和运营商。依据AIOT技术，提供智慧停车、门禁通道及安全应急的设备系统和运营服务，及其全套解决方案。为城市治理、企业管理、个人生活创造价值。,企业服务,行业信息化及解决方案,浙江,杭州,2000-04,运营中,41300,69300,56000,4.65,0.430232,1054,2023-11-02,IPO上市,1.12亿,人民币,11200,,浙江省杭州市西湖区西斗门路3号天堂软件园D幢11楼A座,,,周林健,CEO
,,,,,,,,,,,,,,,,,,,2020-07-06,新三板定增,数千万,人民币,3000,湖畔宏盛,,,,,
,,,,,,,,,,,,,,,,,,,2016-02-18,新三板定增,1.41亿,人民币,14100,,,,,,
,,,,,,,,,,,,,,,,,,,2015-07-29,新三板,未透露,人民币,10000,,,,,,
,,,,,,,,,,,,,,,,,,,2015-05-25,A轮,数千万,人民币,3000,湖畔山南资本,,,,,
15645,世纪互联,北京世纪互联宽带数据中心有限公司,9111010578615131XD,http://www.ch.21vianet.com,第三方的互联网基础设施服务提供商,世纪互联是全球具有重要影响力的网络空间基础设施服务提供商之一，也是中国领先的第三方中立数据中心运营商之一。世纪互联致力于提供业界领先的数据中心服务、中立的云运营及中立的混合IT服务，打造具有核心技术、超大规模运营能力、高附加值的网络空间基础设施运营平台。,企业服务,云服务,北京,朝阳区,2006-03,运营中,969850,300000,971750,74.13,-24.83,3293,2023-12-29,IPO上市后,2.99亿,美元,194350,山高控股,北京市朝阳区酒仙桥东路10号,010-8456-2121,marketing@21vianet.com,,
,,,,,,,,,,,,,,,,,,,2020-06-23,IPO上市后,1.5亿,美元,97500,黑石集团Blackstone,,,,,
,,,,,,,,,,,,,,,,,,,2016-05-23,IPO上市后,3.88亿,美元,252200,荷塘创投,,,,,
,,,,,,,,,,,,,,,,,,,2014-12-01,IPO上市后,2.92亿,美元,189800,"淡马锡Temasek,小米集团,金山软件",,,,,
,,,,,,,,,,,,,,,,,,,2011-04-21,IPO上市,数亿,美元,195000,,,,,,
,,,,,,,,,,,,,,,,,,,2008-06-15,C轮,4000万,美元,26000,"经纬创投,纪源资本",,,,,
,,,,,,,,,,,,,,,,,,,2007-02-28,B轮,2000万,美元,13000,IDG资本,,,,,
,,,,,,,,,,,,,,,,,,,2002-01-20,A轮,2000万,人民币,2000,IDG资本,,,,,
38552496,榕基软件,福建榕基软件股份有限公司,913500006285075795,http://www.rongji.com,行业应用软件开发服务提供商,榕基软件是一家行业应用软件开发服务提供商，专注于电子政务、质检三点工程、协同管理、信息安全、应用中间件等领域产品的研发，为用户提供榕基政务信息化系统、榕基电子单证易查系统、榕基电子缴费系统等产品，同时旗下还拥有“榕基服务超市”，用户可在平台买到相关的软件。,企业服务,开发者服务,福建,福州,1993-10,运营中,106200,360000,50000,6.66,0.095768,888,2018-09-30,IPO上市后,未透露,人民币,10000,中国人寿,福州市鼓楼区铜盘路福州软件园产业基地,0591-8786-0988,luweiyi@rongji.com,,
,,,,,,,,,,,,,,,,,,,2010-09-15,IPO上市,9.62亿,人民币,96200,,,,,,
38513296,莱斯信息,南京莱斯信息技术股份有限公司,913201001348786874,,民用指挥信息系统整体解决方案提供商,莱斯信息是民用指挥信息系统整体解决方案提供商，主要提供以指挥控制技术为核心的指挥信息系统整体解决方案和系列产品。目前已形成面向民航空中交通管理、城市道路交通管理、城市治理三大行业，提供空管自动化系统、空管场面管理系统、机场机坪塔台管制自动化系统、空管模拟机系统、空管流量管理系统、交通信号控制系统与设备、城市综合指挥平台、公共信用信息服务平台及人防应急指挥信息系统等核心产品的业务格局。,企业服务,企业IT服务,江苏,南京,1988-07,运营中,103300,413200,516500,15.76,0.969348,895,2023-06-28,IPO上市,10.33亿,人民币,103300,,南京市秦淮区永智路8号,025-8228-5905,les@les.cn,,
30844,工大高科,合肥工大高科信息科技股份有限公司,91340100726317672P,http://www.gocom.cn,工程安全监控产品研发商,工大高科是一家专业从事具有物联网技术架构特征的矿井移动目标安全监控、铁路信号控制与智能调度产品研发、生产的企业服务提供商。,企业服务,行业信息化及解决方案,安徽,合肥,2000-12,运营中,58650,224200,93250,3.016,0.4229,223,2021-06-28,IPO上市,1.87亿,人民币,18650,,安徽省合肥市合肥国家高新技术产业开发区天智路27号,0551-65256623,gocom@gocom.cn,魏臻,创始人
,,,,,,,,,,,,,,,,,,,2021-05-31,退市,未透露,人民币,10000,,,,,,
,,,,,,,,,,,,,,,,,,,2016-04-18,新三板定增,未透露,人民币,10000,正奇投资,,,,,
