公司ID,公司简称,工商全称,统一信用代码,官网,一句话简介,公司简介,行业,子行业,省,市,成立时间,运营状态,融资总额(万人民币),估值(万人民币),估值(估算-万人民币),年营收(亿元),年度利润(亿元),员工人数,融资时间,轮次,金额,币种,等值人民币(万),投资机构,地址,电话,邮箱,团队姓名,职位
227.0,中科创达,中科创达软件股份有限公司,91110000672354637K,http://www.thundersoft.com,智能操作系统产品和技术提供商,中科创达是一家智能操作系统产品和技术提供商。致力于提供卓越的智能操作系统产品、技术及解决方案，立足智能终端操作系统，聚焦人工智能关键技术，助力并加速智能手机、智能物联网、智能网联汽车、智能行业等领域的产品化与技术创新。,企业服务,企业IT服务,北京,海淀区,2008-03,运营中,258100.0,2377300.0,850500.0,52.42,4.24,13119,2020-08-12,IPO上市后,1701000000.0000002,人民币,1701000000.0000002,"中金公司,易方达基金,太平洋保险,国泰君安,中信建投资本,阳光保险,嘉实投资-嘉实基金,大正投资集团,财通基金,中意资产",南京市鼓楼区集慧路16号联创大厦B座20层,,TIANZY1225@THUNDERSOFT.COM,耿增强,总裁
227.0,中科创达,中科创达软件股份有限公司,91110000672354637K,,智能操作系统产品和技术提供商,,企业服务,企业IT服务,北京,海淀区,2008-03,运营中,258100.0,2377300.0,850500.0,52.42,4.24,13119,2015-11-23,IPO上市,582000000.0,人民币,582000000.0,,南京市鼓楼区集慧路16号联创大厦B座20层,,,赵鸿飞,CEO
227.0,中科创达,中科创达软件股份有限公司,91110000672354637K,,智能操作系统产品和技术提供商,,企业服务,企业IT服务,北京,海淀区,2008-03,运营中,258100.0,2377300.0,850500.0,52.42,4.24,13119,2014-11-05,B轮,,美元,,英特尔投资Intel Capital,南京市鼓楼区集慧路16号联创大厦B座20层,,,段志强,CTO
227.0,中科创达,中科创达软件股份有限公司,91110000672354637K,,智能操作系统产品和技术提供商,,企业服务,企业IT服务,北京,海淀区,2008-03,运营中,258100.0,2377300.0,850500.0,52.42,4.24,13119,2011-06-01,A轮,100000000.0,人民币,100000000.0,"北极光创投,高通Qualcomm Ventures,国科投资",南京市鼓楼区集慧路16号联创大厦B座20层,,,,
227.0,中科创达,中科创达软件股份有限公司,91110000672354637K,,智能操作系统产品和技术提供商,,企业服务,企业IT服务,北京,海淀区,2008-03,运营中,258100.0,2377300.0,850500.0,52.42,4.24,13119,2010-09-09,天使轮,,人民币,,PreAngel,南京市鼓楼区集慧路16号联创大厦B座20层,,,,
27354.0,永信至诚,永信至诚科技集团股份有限公司,91110108562135265P,http://www.integritytech.com.cn/,专精于各类信息安全系统、平台及定制化软件,永信至诚是一家专业的网络安全公司。基于核心团队深厚的攻防技术基因，秉承“人是安全的核心”的主导思想，主营产品包括政企网络安全产品、政企网络安全服务及互联网安全业务。公司打造了国内知名的网络安全教育平台，是网安人才培养领军企业；举办了一系列影响力重大的网络安全赛事和演练活动；研制了具备国内领先水平的城市级网络靶场；开创性地研制了高处置态势感知和高甜度春秋云阵蜜罐类产品。公司践行“聚焦优势、合作共生、有信有诺”的价值观，追求实现“带给世界安全感”的愿景使命。,企业服务,企业安全,北京,海淀区,2010-09,运营中,109100.0,230400.0,288000.0,3.31,0.573891,453,2022-10-19,IPO上市,576000000.0,人民币,576000000.0,,北京市海淀区丰豪东路9号院6号楼,010-5086-6166,liuxiu@integritytech.com.cn,蔡晶晶,CEO
27354.0,永信至诚,永信至诚科技集团股份有限公司,91110108562135265P,,专精于各类信息安全系统、平台及定制化软件,,企业服务,企业安全,北京,海淀区,2010-09,运营中,109100.0,230400.0,288000.0,3.31,0.573891,453,2020-11-20,战略投资,200000000.0,人民币,200000000.0,"金融街资本,熙诚金睿",北京市海淀区丰豪东路9号院6号楼,,,,
27354.0,永信至诚,永信至诚科技集团股份有限公司,91110108562135265P,,专精于各类信息安全系统、平台及定制化软件,,企业服务,企业安全,北京,海淀区,2010-09,运营中,109100.0,230400.0,288000.0,3.31,0.573891,453,2017-12-13,退市,,人民币,,,北京市海淀区丰豪东路9号院6号楼,,,,
27354.0,永信至诚,永信至诚科技集团股份有限公司,91110108562135265P,,专精于各类信息安全系统、平台及定制化软件,,企业服务,企业安全,北京,海淀区,2010-09,运营中,109100.0,230400.0,288000.0,3.31,0.573891,453,2017-06-19,新三板定增,75000000.0,人民币,75000000.0,"英华资本,奇安投资",北京市海淀区丰豪东路9号院6号楼,,,,
27354.0,永信至诚,永信至诚科技集团股份有限公司,91110108562135265P,,专精于各类信息安全系统、平台及定制化软件,,企业服务,企业安全,北京,海淀区,2010-09,运营中,109100.0,230400.0,288000.0,3.31,0.573891,453,2016-05-23,新三板,,人民币,,,北京市海淀区丰豪东路9号院6号楼,,,,
27354.0,永信至诚,永信至诚科技集团股份有限公司,91110108562135265P,,专精于各类信息安全系统、平台及定制化软件,,企业服务,企业安全,北京,海淀区,2010-09,运营中,109100.0,230400.0,288000.0,3.31,0.573891,453,2015-05-12,B轮,,人民币,,奇虎360,北京市海淀区丰豪东路9号院6号楼,,,,
27354.0,永信至诚,永信至诚科技集团股份有限公司,91110108562135265P,,专精于各类信息安全系统、平台及定制化软件,,企业服务,企业安全,北京,海淀区,2010-09,运营中,109100.0,230400.0,288000.0,3.31,0.573891,453,2014-04-08,A轮,10000000.0,人民币,10000000.0,启明星辰,北京市海淀区丰豪东路9号院6号楼,,,,
40688508.0,数科集团,数科集团控股有限公司,91110108562135265P,http://www.mttgholdings.com/,垂直整合资讯科技解决方案供应商,数科集团是一家垂直整合资讯科技解决方案供应商，主要从事于香港分销资讯科技产品以及于香港、中国及澳门提供系统整合解决方案，其产品及解决方案主要分为数据通讯及系统基建、网络安全及数码转型，其向经销商介绍、营销及分销包括硬件、软件及或配套产品在内种类丰富的资讯科技产品。,企业服务,企业IT服务,香港,九龙城区,2020-09,运营中,5696.0,42560.0,28480.0,7.57,0.52965,173,2022-09-26,IPO上市,71200000.0,港元,56960000.0,,香港九龙观塘巧明街107号国基集团中心8楼,00852-3755-8400,Info@mttgholdings.com,,
2428.0,趣活科技, 趣活有限公司,911101085923799229,http://www.meishisong.cn/,多场景人力资源资产运营解决方平台,趣活科技是一个劳动力运营解决方案平台，可为包括美团、饿了么、滴滴等大型生活服务平台提供灵活用工解决方案、第三方业务管理平台、劳动者技能提升等服务，业务涉及外卖即时配送、网约车司机管理、共享单车运维等多个场景。,企业服务,人力资源,北京,朝阳区,2012-03,运营中,49700.0,2145.0,107250.0,37.02,0.05081,495,2020-07-10,IPO上市,33000000.0,美元,207900000.0,,香港九龙观塘巧明街107号国基集团中心8楼,,,孙莉莉,联合创始人
2428.0,趣活科技, 趣活有限公司,911101085923799229,,多场景人力资源资产运营解决方平台,,企业服务,人力资源,北京,朝阳区,2012-03,运营中,49700.0,2145.0,107250.0,37.02,0.05081,495,2016-04-20,C轮,10000000.0,美元,63000000.0,"软银中国资本,锴明投资ClearVue",香港九龙观塘巧明街107号国基集团中心8楼,,,杨树轶,联合创始人
2428.0,趣活科技, 趣活有限公司,911101085923799229,,多场景人力资源资产运营解决方平台,,企业服务,人力资源,北京,朝阳区,2012-03,运营中,49700.0,2145.0,107250.0,37.02,0.05081,495,2014-06-30,B轮,,美元,,"百度,软银中国资本",香港九龙观塘巧明街107号国基集团中心8楼,,,,
2428.0,趣活科技, 趣活有限公司,911101085923799229,,多场景人力资源资产运营解决方平台,,企业服务,人力资源,北京,朝阳区,2012-03,运营中,49700.0,2145.0,107250.0,37.02,0.05081,495,2013-08-01,A轮,,美元,,软银中国资本,香港九龙观塘巧明街107号国基集团中心8楼,,,,
2428.0,趣活科技, 趣活有限公司,911101085923799229,,多场景人力资源资产运营解决方平台,,企业服务,人力资源,北京,朝阳区,2012-03,运营中,49700.0,2145.0,107250.0,37.02,0.05081,495,2012-03-02,天使轮,,人民币,,"PreAngel,起点资本,长石资本,查立",香港九龙观塘巧明街107号国基集团中心8楼,,,,
21629.0,声网Agora, 声网有限公司,91310110093802968T,http://agora.io/,移动端音视频实时传输的云服务解决方案,声网 Agora.io 是首家为 App 开发者提供全球范围实时音视频通信服务的服务商，在全球部署了超过 200 个数据中心，搭建 SD－RTN™(Software Defined Real Time Network)这个专为「实时」所设计的虚拟通信网，来极大优化全球范围内的实时传输。声网Agora.io 为开发者提供有质量保证 QoE 的实时云服务。,企业服务,企业IT服务,上海,杨浦区,2014-03,运营中,482950.0,149500.0,149500.0,1.42,-0.86797,1022,2020-06-26,IPO上市,459999999.99999994,美元,2897999999.9999995,,上海市杨浦区伟成路62号5层,400-632-6626,Sales@agora.io,赵斌,CEO
21629.0,声网Agora, 声网有限公司,91310110093802968T,,移动端音视频实时传输的云服务解决方案,,企业服务,企业IT服务,上海,杨浦区,2014-03,运营中,482950.0,149500.0,149500.0,1.42,-0.86797,1022,2020-06-22,基石轮,160000000.0,美元,1008000000.0,"Dragoneer Investment Group,Coatue Management,Neumann Advisors,Vitruvian Partners维恩资本",上海市杨浦区伟成路62号5层,,,陶思明,CTO
21629.0,声网Agora, 声网有限公司,91310110093802968T,,移动端音视频实时传输的云服务解决方案,,企业服务,企业IT服务,上海,杨浦区,2014-03,运营中,482950.0,149500.0,149500.0,1.42,-0.86797,1022,2018-11-21,C轮,70000000.0,美元,441000000.0,"五源资本,顺为资本,SIG海纳亚洲,Coatue Management",上海市杨浦区伟成路62号5层,,,Ed Brakus,全球产品管理负责人
21629.0,声网Agora, 声网有限公司,91310110093802968T,,移动端音视频实时传输的云服务解决方案,,企业服务,企业IT服务,上海,杨浦区,2014-03,运营中,482950.0,149500.0,149500.0,1.42,-0.86797,1022,2018-06-11,B+轮,30000000.0,美元,189000000.0,"五源资本,纪源资本,顺为资本,SIG海纳亚洲",上海市杨浦区伟成路62号5层,,,楼剑,首席视频科学家
21629.0,声网Agora, 声网有限公司,91310110093802968T,,移动端音视频实时传输的云服务解决方案,,企业服务,企业IT服务,上海,杨浦区,2014-03,运营中,482950.0,149500.0,149500.0,1.42,-0.86797,1022,2015-09-17,B轮,20000000.0,美元,126000000.0,"IDG资本,五源资本,纪源资本,顺为资本,SIG海纳亚洲",上海市杨浦区伟成路62号5层,,,,
21629.0,声网Agora, 声网有限公司,91310110093802968T,,移动端音视频实时传输的云服务解决方案,,企业服务,企业IT服务,上海,杨浦区,2014-03,运营中,482950.0,149500.0,149500.0,1.42,-0.86797,1022,2014-03-12,A轮,,美元,,顺为资本,上海市杨浦区伟成路62号5层,,,,
39919882.0,动力源,北京动力源科技股份有限公司,911100001021218238,http://www.dpc.com.cn,科技推广和应用服务商,动力源是一家科技推广和应用服务商，经营范围包括电力电子产品、计算机软件及辅助设备、通信设备、节能工程、新能源汽车、新能源发电工程的技术开发、技术转让、技术咨询、技术服务、技术推广；新能源汽车换电设施的技术开发；光伏设备及元器件、充电桩的技术开发；生产计算机软硬件；销售电力电子产品、计算机软件及辅助设备、仪器仪表、环保设备、新能源汽车及配件产品。,企业服务,其他企业服务,北京,丰台区,1995-01,运营中,482950.0,256200.0,149500.0,10.42,-1.46,2189,2004-04-01,IPO上市,249000000.00000003,人民币,249000000.00000003,,北京市丰台区科技园区星火路8号,010-8368-2266,sqh@dpc.com.cn,何振亚,CEO
30626.0,致远互联,北京致远互联软件股份有限公司,91110108737656338N,http://www.seeyon.com/,协同管理软件及云服务提供商,北京致远协创软件是一家主打协同管理软件的企业服务提供商，目前形成了从私有云到公有云、从互联网到移动互联网、从企业内部协同到外部协同的完整产品线及解决方案。,企业服务,办公OA,北京,海淀区,2002-03,运营中,133350.0,577400.0,475500.0,10.32,0.951091,2699,2019-10-31,IPO上市,951000000.0,人民币,951000000.0,,北京市海淀区北坞村路甲25号静芯园N座,4007-008-822,security@seeyon.com,徐石,CEO
30626.0,致远互联,北京致远互联软件股份有限公司,91110108737656338N,,协同管理软件及云服务提供商,,企业服务,办公OA,北京,海淀区,2002-03,运营中,133350.0,577400.0,475500.0,10.32,0.951091,2699,2016-04-01,C轮,,人民币,,"正和岛正和磁系资本,云鼎资本,新疆绿洲资本",北京市海淀区北坞村路甲25号静芯园N座,,,,
30626.0,致远互联,北京致远互联软件股份有限公司,91110108737656338N,,协同管理软件及云服务提供商,,企业服务,办公OA,北京,海淀区,2002-03,运营中,133350.0,577400.0,475500.0,10.32,0.951091,2699,2015-12-11,B轮,52500000.0,人民币,52500000.0,"263网络通信(二六三),随锐科技",北京市海淀区北坞村路甲25号静芯园N座,,,,
30626.0,致远互联,北京致远互联软件股份有限公司,91110108737656338N,,协同管理软件及云服务提供商,,企业服务,办公OA,北京,海淀区,2002-03,运营中,133350.0,577400.0,475500.0,10.32,0.951091,2699,2010-03-12,A轮,,人民币,,用友幸福投资,北京市海淀区北坞村路甲25号静芯园N座,,,,
3151.0,金山云,金山云,9111010857121431XA,http://www.ksyun.com,云计算服务提供商,金山云2012年从金山软件拆分独立，是一家云计算服务提供商，已推出云服务器、云物理主机、关系型数据库、缓存、表格数据库、对象存储、负载均衡、虚拟私有网络、CDN、托管Hadoop、云安全、云解析等在内的完整云产品，以及适用于游戏、视频、政务、医疗、金融等垂直行业的云服务解决方案。金山云一直进行人工智能的研究和实践工作，推出的覆盖IaaS、Paas、SaaS、行业解决方案四个层面，适用于各行业的多种组合型AI解决方案和服务。,企业服务,企业IT服务,北京,海淀区,2011-03,运营中,989912.0,605760.0,40000.0,72.26,-21.66,4221,2022-12-30,IPO上市,,港元,,,北京市海淀区小营西路33号金山软件大厦,010-6292-7777,ksyundns@kingsoft.com,张宏江,CEO
3151.0,金山云,金山云,9111010857121431XA,,云计算服务提供商,,企业服务,企业IT服务,北京,海淀区,2011-03,运营中,989912.0,605760.0,40000.0,72.26,-21.66,4221,2020-05-09,IPO上市,509999999.99999994,美元,3212999999.9999995,,北京市海淀区小营西路33号金山软件大厦,,,王育林,CEO
3151.0,金山云,金山云,9111010857121431XA,,云计算服务提供商,,企业服务,企业IT服务,北京,海淀区,2011-03,运营中,989912.0,605760.0,40000.0,72.26,-21.66,4221,2019-12-03,D+轮,50000000.0,美元,315000000.0,"建银国际,中国互联网投资基金",北京市海淀区小营西路33号金山软件大厦,,,,
3151.0,金山云,金山云,9111010857121431XA,,云计算服务提供商,,企业服务,企业IT服务,北京,海淀区,2011-03,运营中,989912.0,605760.0,40000.0,72.26,-21.66,4221,2018-01-29,D轮,720000000.0,美元,4536000000.0,"顺为资本,金山软件,骊悦投资,中民投,光远资本,天际资本FutureX Capital",北京市海淀区小营西路33号金山软件大厦,,,,
3151.0,金山云,金山云,9111010857121431XA,,云计算服务提供商,,企业服务,企业IT服务,北京,海淀区,2011-03,运营中,989912.0,605760.0,40000.0,72.26,-21.66,4221,2016-05-09,C+轮,50000000.0,美元,315000000.0,CM投资,北京市海淀区小营西路33号金山软件大厦,,,,
3151.0,金山云,金山云,9111010857121431XA,,云计算服务提供商,,企业服务,企业IT服务,北京,海淀区,2011-03,运营中,989912.0,605760.0,40000.0,72.26,-21.66,4221,2016-02-06,C轮,60000000.0,美元,378000000.0,"IDG资本,金山软件,华夏基金",北京市海淀区小营西路33号金山软件大厦,,,,
3151.0,金山云,金山云,9111010857121431XA,,云计算服务提供商,,企业服务,企业IT服务,北京,海淀区,2011-03,运营中,989912.0,605760.0,40000.0,72.26,-21.66,4221,2015-03-28,B+轮,52660000.0,美元,331758000.0,"IDG资本,金山软件",北京市海淀区小营西路33号金山软件大厦,,,,
3151.0,金山云,金山云,9111010857121431XA,,云计算服务提供商,,企业服务,企业IT服务,北京,海淀区,2011-03,运营中,989912.0,605760.0,40000.0,72.26,-21.66,4221,2014-08-01,B轮,,人民币,,小米集团,北京市海淀区小营西路33号金山软件大厦,,,,
3151.0,金山云,金山云,9111010857121431XA,,云计算服务提供商,,企业服务,企业IT服务,北京,海淀区,2011-03,运营中,989912.0,605760.0,40000.0,72.26,-21.66,4221,2013-08-01,A轮,20000000.0,美元,126000000.0,DST Global,北京市海淀区小营西路33号金山软件大厦,,,,
3151.0,金山云,金山云,9111010857121431XA,,云计算服务提供商,,企业服务,企业IT服务,北京,海淀区,2011-03,运营中,989912.0,605760.0,40000.0,72.26,-21.66,4221,2012-12-01,天使轮,1820000.0,美元,11466000.0,"小米集团,雷军",北京市海淀区小营西路33号金山软件大厦,,,,
9637.0,品高软件,广州市品高软件股份有限公司,91440101745973157W,http://www.bingocc.com,IT综合服务提供商,品高软件主营业务是以大型应用软件为核心，在云计算、企业门户、工作流、知识管理、项目管理等IT领域提供软件产品研发、高端行业应用项目开发和顾问咨询服务。,企业服务,企业IT服务,广东,广州,2010-01,运营中,91720.0,419300.0,458600.0,4.71,0.572382,966,2021-12-30,IPO上市,917000000.0,人民币,917000000.0,,广州市天河区高唐软件产业基地软件路17号G1栋,020-8701-1227,,黄海,CEO
39107988.0,旗天科技集团,旗天科技集团股份有限公司,913100006073633775,https://www.qt300061.com/,数字生活营销服务商,旗天科技集团是新一代信息技术下的、拥有自主研发能力的数字科技营销企业，主要服务于银行等持牌金融机构和头部互联网公司，开展面向其海量个人客户的数字科技增值营销业务 。其中数字生活营销业务、银行卡增值营销业务、航旅信息服务业务三大细分业务，交易规模和行业影响力在行业中均居于头部地位。,企业服务,前沿技术,上海,浦东新区,1996-12,运营中,27000.0,317500.0,135000.0,12.56,0.66561,876,2010-03-19,IPO上市,270000000.0,人民币,270000000.0,,上海市浦东新区张江丹桂路999号张江国创中心一期C5幢,021-8039-588,office@kq.300061.com;limy@qt300061.com,,
39086273.0,智微智能,深圳市智微智能科技股份有限公司,91440300582702079P,http://www.jwipc.com,物联网核心解决方案商,智微智能是一家物联网核心解决方案商，主营产品包括：主板、一体机、OPS模块录播系统、云终端、播放终端、手持支付设备、多功能支付终端、工业主板、工业BOX、工业平板、网安平台和服务器等。,企业服务,行业信息化及解决方案,广东,深圳,2011-09,运营中,104100.0,416000.0,520500.0,27.0,2.15,1621,2022-08-15,IPO上市,1041000000.0,人民币,1041000000.0,,深圳市福田区车公庙泰然九路海松大厦B-1303,0755-2398-1887,zenglj@jwele.com.cn,,
39069018.0,麒麟信安,湖南麒麟信安科技股份有限公司,914301003385143085,http://www.kylinsec.com.cn,信息安全解决方案提供商,麒麟信安是一家信息安全解决方案提供商，旗下拥有操作系统、信息安全和云计算三条自主研发产品线，主营业务包括麒麟操作系统、电子信息集中管控系统、网络安全存储系统、云桌面一体机等内容。,企业服务,企业安全,湖南,长沙,2015-04,运营中,103100.0,260000.0,50000.0,4.0,"1,39",579,2024-02-01,IPO上市后,,人民币,,,长沙高新开发区麒云路20号麒麟科技园1栋4楼,073-18877-7708,,,
39069018.0,麒麟信安,湖南麒麟信安科技股份有限公司,914301003385143085,,信息安全解决方案提供商,,企业服务,企业安全,湖南,长沙,2015-04,运营中,103100.0,260000.0,50000.0,4.0,"1,39",579,2022-10-28,IPO上市,910000000.0,人民币,910000000.0,,长沙高新开发区麒云路20号麒麟科技园1栋4楼,,,,
39069018.0,麒麟信安,湖南麒麟信安科技股份有限公司,914301003385143085,,信息安全解决方案提供商,,企业服务,企业安全,湖南,长沙,2015-04,运营中,103100.0,260000.0,50000.0,4.0,"1,39",579,2018-02-02,A轮,,人民币,,"天创资本,华软资本CSC,昭德投资",长沙高新开发区麒云路20号麒麟科技园1栋4楼,,,,
39069018.0,麒麟信安,湖南麒麟信安科技股份有限公司,914301003385143085,,信息安全解决方案提供商,,企业服务,企业安全,湖南,长沙,2015-04,运营中,103100.0,260000.0,50000.0,4.0,"1,39",579,2016-03-01,天使轮,,人民币,,长沙捷清,长沙高新开发区麒云路20号麒麟科技园1栋4楼,,,,
19694.0,易点云,北京易点淘网络技术有限公司,911101083180629225,https://www.edianzu.com,企业IT租赁服务与管理平台,易点云品牌属于北京易点淘网络技术有限公司，该公司是国内更受欢迎的企业IT租赁服务与管理平台，在行业领域内不断创新与突破，为企业提供企业IT设备租赁、企业IT运维、固定资产管理系统、设备回收，实现了企业IT服务的基础覆盖。易点云是企业IT租赁服务行业更受欢迎的品牌。用创新思维与优质的服务，改变了传统的企业设备购买模式，开启了中国企业IT租赁服务新时代。先后创造性的推出了一系列的服务，包括免押金、全程保修、全新电脑随用随还、重点城市2小时快速上门等。,企业服务,企业IT服务,北京,海淀区,2014-10,运营中,192068.0,468160.0,238800.0,13.02,-9.02,1734,2023-05-25,IPO上市,597000000.0,港元,477600000.0,,北京市海淀区安宁庄南路易点租大厦,400-886-9528,bd@edianzu.com,纪鹏程,CEO
19694.0,易点云,北京易点淘网络技术有限公司,911101083180629225,,企业IT租赁服务与管理平台,,企业服务,企业IT服务,北京,海淀区,2014-10,运营中,192068.0,468160.0,238800.0,13.02,-9.02,1734,2023-05-07,基石轮,100000000.0,人民币,100000000.0,策源资本,北京市海淀区安宁庄南路易点租大厦,,,张斌,COO
19694.0,易点云,北京易点淘网络技术有限公司,911101083180629225,,企业IT租赁服务与管理平台,,企业服务,企业IT服务,北京,海淀区,2014-10,运营中,192068.0,468160.0,238800.0,13.02,-9.02,1734,2021-03-16,E轮,500000000.0,人民币,500000000.0,"经纬创投,源码资本,InnoVen Capital毅峰资本,云时资本",北京市海淀区安宁庄南路易点租大厦,,,常凯斯,联合创始人
19694.0,易点云,北京易点淘网络技术有限公司,911101083180629225,,企业IT租赁服务与管理平台,,企业服务,企业IT服务,北京,海淀区,2014-10,运营中,192068.0,468160.0,238800.0,13.02,-9.02,1734,2019-02-20,D+轮,,美元,,云时资本,北京市海淀区安宁庄南路易点租大厦,,,,
19694.0,易点云,北京易点淘网络技术有限公司,911101083180629225,,企业IT租赁服务与管理平台,,企业服务,企业IT服务,北京,海淀区,2014-10,运营中,192068.0,468160.0,238800.0,13.02,-9.02,1734,2018-10-16,D轮,60000000.0,美元,378000000.0,源码资本,北京市海淀区安宁庄南路易点租大厦,,,,
